id,sentence,subject_entity,object_entity,label,source
4,1967년 프로 야구 드래프트 1순위로 요미우리 자이언츠에게 입단하면서 등번호는 8번으로 배정되었다.,"{'word': '요미우리 자이언츠', 'start_idx': 22, 'end_idx': 30, 'type': 'ORG'}","{'word': '1967', 'start_idx': 0, 'end_idx': 3, 'type': 'DAT'}",no_relation,wikipedia
6,그에 따라 나폴리와 계약을 연장한 마라도나는 1989년 팀을 UEFA컵 정상으로 인도했으며 이듬해에는 유럽 챔피언 AC 밀란을 상대로 승리를 거두고 다시 한 번 세리에A에서 정상에 등극했다.,"{'word': 'AC 밀란', 'start_idx': 64, 'end_idx': 68, 'type': 'ORG'}","{'word': '1989', 'start_idx': 25, 'end_idx': 28, 'type': 'DAT'}",no_relation,wikipedia
67,"1984년에는 포스트시즌을 포함해 56경기 324.2이닝, 31승, 6세이브, 18완투, 258탈삼진(한국시리즈 5경기 40이닝, 4승, 4완투, 35탈삼진)으로 KBO 리그 역사상 유일하게 한국시리즈 4승을 올리며 1984년 롯데 자이언츠가 창단 첫 우승을 하는 데 크게 기여하는 등 KBO 리그 초창기를 이끌었다.","{'word': '롯데 자이언츠', 'start_idx': 127, 'end_idx': 133, 'type': 'ORG'}","{'word': '1984년', 'start_idx': 121, 'end_idx': 125, 'type': 'DAT'}",org:founded,wikipedia
80,"2008년 2월 29일 방송위원회를 개편하여 발족하였으며, 경기도 과천시 관문로 47 정부과천청사에 위치하고 있다.","{'word': '방송위원회', 'start_idx': 13, 'end_idx': 17, 'type': 'ORG'}","{'word': '2008년 2월 29일', 'start_idx': 0, 'end_idx': 11, 'type': 'DAT'}",org:founded,wikipedia
81,"2002년부터 2003년까지 잠시 노르웨이의 로센보르그 BK에서 뛰었으며, 2003년 러시아 프리미어리그의 FC 루빈 카잔으로 이적하였다.","{'word': '로센보르그 BK', 'start_idx': 25, 'end_idx': 32, 'type': 'ORG'}","{'word': '2003', 'start_idx': 8, 'end_idx': 11, 'type': 'DAT'}",no_relation,wikipedia
88,"1983년 경기과학고등학교부터 시작되었으며 그 후 1984년에 경남과학고등학교, 대전과학고등학교, 광주과학고등학교가 문을 열었고, 1988년에 대구과학고등학교가 문을 열고, 1989년에 충북과학고등학교, 서울과학고등학교가 문을 열었다.","{'word': '광주과학고등학교', 'start_idx': 55, 'end_idx': 62, 'type': 'ORG'}","{'word': '1984년', 'start_idx': 28, 'end_idx': 32, 'type': 'DAT'}",org:founded,wikipedia
89,"1954년 제네바 협정에 의해 베트남국은 북위 17도 이남을 잠정적으로 통치하고, 선거를 통해 통일 정부를 수립하도록 결정되었다.","{'word': '베트남', 'start_idx': 17, 'end_idx': 19, 'type': 'ORG'}","{'word': '1954년', 'start_idx': 0, 'end_idx': 4, 'type': 'DAT'}",no_relation,wikipedia
102,1959년 한국 전쟁으로 폐교된 대성여자중학교를 부활시키고 1960년에는 대성여자고등학교를 세웠다.,"{'word': '대성여자중학교', 'start_idx': 18, 'end_idx': 24, 'type': 'ORG'}","{'word': '1959년', 'start_idx': 0, 'end_idx': 4, 'type': 'DAT'}",org:dissolved,wikipedia
104,"1856년 주의 인가로 오번 시에 ""감리교파 대학교""(East Alabama Male College)를 건설하였고 1859년 ""오번 대학교""로 이름을 바꾸며 개강을 시작, 오번 시는 본격적인 대학 타운으로 발전했다.","{'word': '오번 대학교', 'start_idx': 71, 'end_idx': 76, 'type': 'ORG'}","{'word': '1856년', 'start_idx': 0, 'end_idx': 4, 'type': 'DAT'}",org:founded,wikipedia
110,그러나 2014년 FA컵에서 32강전과 16강전 2경기 연속골을 넣으며 가능성을 입증했으며 그 후 K리그 클래식에서 좌우 윙어와 윙백 포지션을 가리지 않고 꾸준히 출장하였고 2014년 9월 11일 성남 FC와의 원정 경기에서 리그 데뷔골을 터트렸다.,"{'word': '성남 FC', 'start_idx': 110, 'end_idx': 114, 'type': 'ORG'}","{'word': '2014', 'start_idx': 4, 'end_idx': 7, 'type': 'DAT'}",no_relation,wikipedia
