id,sentence,subject_entity,object_entity,label,source
8,"중공군에게 온전히 대항할 수 없을 정도로 약해진 국민당은 타이베이로 수도를 옮기는 것을 결정해, 남아있는 중화민국군의 병력이나 국가, 개인의 재산등을 속속 타이완으로 옮기기 시작해, 12월에는 중앙 정부 기구도 모두 이전해 타이베이 시를 중화민국의 새로운 수도로 삼았다.","{'word': '중화민국', 'start_idx': 59, 'end_idx': 62, 'type': 'ORG'}","{'word': '타이베이', 'start_idx': 32, 'end_idx': 35, 'type': 'LOC'}",org:place_of_headquarters,wikipedia
13,"뉴질랜드 1차산업부 생물보안 대변인 캐서린 더시 박사는 과일파리를 잡기 위해 오클랜드 전역에 1천300여개의 파리통을 놓았다며, 곧 통들을 마지막으로 점검할 것이라고 말했다.","{'word': '뉴질랜드', 'start_idx': 0, 'end_idx': 3, 'type': 'ORG'}","{'word': '오클랜드', 'start_idx': 43, 'end_idx': 46, 'type': 'LOC'}",org:members,wikitree
42,"2008-09 시즌, 그는 페페의 10경기 출장 정지 징계로부터 수혜를 받은 선수로, 4-2로 이긴 세비야와의 경기에서 훌륭한 활약을 펼쳤지만, 바르셀로나와의 안방 경기에 2-6으로 패할 때에도 출전했고, 자신의 스페인 무대 최다인 12경기 출장을 기록했다.","{'word': '세비야', 'start_idx': 56, 'end_idx': 58, 'type': 'ORG'}","{'word': '스페인', 'start_idx': 119, 'end_idx': 121, 'type': 'LOC'}",org:member_of,wikipedia
49,때문에 개표가 최종 완료된 오전 8시 6분 중앙선거관리위원회에서 대통령 당선자 선언과 동시에 문재인 후보는 대한민국의 대통령이 되었다.,"{'word': '중앙선거관리위원회', 'start_idx': 24, 'end_idx': 32, 'type': 'ORG'}","{'word': '대한민국', 'start_idx': 60, 'end_idx': 63, 'type': 'LOC'}",org:member_of,wikipedia
85,강진 아르코공연연습센터는 전라남도 강진군 대구면 저두리 66번지에 위치해 있으며 단국대학교 강진도예학교라는 명칭으로 문화체육관광부와 강진군에서 기금을 출연해 전라남도 강진군 대구면 저두리의 폐교를 리모델링해 2005년 설립되었다.,"{'word': '강진군', 'start_idx': 74, 'end_idx': 76, 'type': 'ORG'}","{'word': '전라남도', 'start_idx': 88, 'end_idx': 91, 'type': 'LOC'}",org:place_of_headquarters,wikipedia
129,2007년 5월 30일 조선중앙통신사는 조선민주주의인민공화국의 국가인 애국가가 재편곡되었으며 조선민주주의인민공화국 당국이 새로운 국가 악보와 관련 문서를 세계 각국에 전송하였다고 밝혔다.,"{'word': '조선중앙통신사', 'start_idx': 13, 'end_idx': 19, 'type': 'ORG'}","{'word': '조선민주주의인민공화국', 'start_idx': 22, 'end_idx': 32, 'type': 'LOC'}",org:place_of_headquarters,wikipedia
132,1972년 테헤란 대학교(법학)을 졸업한 뒤 영국 스코틀랜드의 글래스고 칼레도니언 대학교에서 석사와 박사 학위(1999년)를 받았다.,"{'word': '글래스고', 'start_idx': 35, 'end_idx': 38, 'type': 'ORG'}","{'word': '스코틀랜드', 'start_idx': 28, 'end_idx': 32, 'type': 'LOC'}",org:place_of_headquarters,wikipedia
134,"1726년 상인의 아들로 스코틀랜드 에든버러에서 태어나, 에든버러 대학교에서 법률을 공부한 후 파리 대학교, 레이던 대학교에서 의학, 화학을 배운다.","{'word': '에든버러 대학교', 'start_idx': 32, 'end_idx': 39, 'type': 'ORG'}","{'word': '스코틀랜드 에든버러', 'start_idx': 14, 'end_idx': 23, 'type': 'LOC'}",org:place_of_headquarters,wikipedia
135,"한편, 러시아의 경우에도 러시아 측의 조치로 인해 올 3월부터 인천-모스크바 간 정기편 운항이 중단되며 러시아에 입국을 희망하던 많은 국내 기업인·학생 등 수요가 누적돼 있는 상황였다.","{'word': '러시아', 'start_idx': 14, 'end_idx': 16, 'type': 'ORG'}","{'word': '모스크바', 'start_idx': 38, 'end_idx': 41, 'type': 'LOC'}",org:members,policy_briefing
140,"울산광역시 출생으로 학성중학교, 학성고등학교, 연세대학교를 졸업하였다.","{'word': '학성고등학교', 'start_idx': 18, 'end_idx': 23, 'type': 'ORG'}","{'word': '울산광역시', 'start_idx': 0, 'end_idx': 4, 'type': 'LOC'}",no_relation,wikipedia
