id,sentence,subject_entity,object_entity,label,source
1,호남이 기반인 바른미래당·대안신당·민주평화당이 우여곡절 끝에 합당해 민생당(가칭)으로 재탄생한다.,"{'word': '민주평화당', 'start_idx': 19, 'end_idx': 23, 'type': 'ORG'}","{'word': '대안신당', 'start_idx': 14, 'end_idx': 17, 'type': 'ORG'}",no_relation,wikitree
2,K리그2에서 성적 1위를 달리고 있는 광주FC는 지난 26일 한국프로축구연맹으로부터 관중 유치 성과와 마케팅 성과를 인정받아 ‘풀 스타디움상’과 ‘플러스 스타디움상’을 수상했다.,"{'word': '광주FC', 'start_idx': 21, 'end_idx': 24, 'type': 'ORG'}","{'word': '한국프로축구연맹', 'start_idx': 34, 'end_idx': 41, 'type': 'ORG'}",org:member_of,wikitree
5,": 유엔, 유럽 의회, 북대서양 조약 기구 (NATO), 국제이주기구, 세계 보건 기구 (WHO), 지중해 연합, 이슬람 협력 기구, 유럽 안보 협력 기구, 국제 통화 기금, 세계무역기구 그리고 프랑코포니.","{'word': '북대서양 조약 기구', 'start_idx': 13, 'end_idx': 22, 'type': 'ORG'}","{'word': 'NATO', 'start_idx': 25, 'end_idx': 28, 'type': 'ORG'}",org:alternate_names,wikipedia
17,제2총군은 태평양 전쟁 말기에 일본 본토에 상륙하려는 연합군에게 대항하기 위해 설립된 일본 제국 육군의 총군이었다.,"{'word': '제2총군', 'start_idx': 0, 'end_idx': 3, 'type': 'ORG'}","{'word': '일본 제국 육군', 'start_idx': 48, 'end_idx': 55, 'type': 'ORG'}",org:member_of,wikipedia
19,"이번 포럼은 제주개발공사와 유네스코 아시아-태평양 본부, 한국지질자원연구원이 공동 주최하고 유네스코 파리본부, 제주특자치도, 환경부, 한국수자원공사, 한국건설기술연구원 등이 후원한다.","{'word': '한국수자원공사', 'start_idx': 75, 'end_idx': 81, 'type': 'ORG'}","{'word': '환경부', 'start_idx': 70, 'end_idx': 72, 'type': 'ORG'}",no_relation,wikitree
23,스포츠계에서도 막강한 영향력을 펼치고 있어 2008년 9월 만수르 빈 자이드 알나하얀 소유의 에 맨체스터 시티 FC의 인수를 제안했고 인수 완료 후 잉글랜드 프리미어리그의 맨체스터 시티 FC의 구단주가 되었다.,"{'word': '맨체스터 시티 FC', 'start_idx': 96, 'end_idx': 105, 'type': 'ORG'}","{'word': '프리미어리그', 'start_idx': 88, 'end_idx': 93, 'type': 'ORG'}",org:member_of,wikipedia
29,이 대회는 1960년에 출범하여 매년 개최되어왔으며 유럽 축구 연맹(UEFA)과 남미 축구 연맹(CONMEBOL)이 공동으로 주관했다.,"{'word': '유럽 축구 연맹', 'start_idx': 29, 'end_idx': 36, 'type': 'ORG'}","{'word': 'UEFA', 'start_idx': 38, 'end_idx': 41, 'type': 'ORG'}",org:alternate_names,wikipedia
31,이어 “향후 우리 창업벤처기업들이 세계가 주목하는 줌(Zoom)과 페이스북(Facebook)과 같은 글로벌 플랫폼 기업으로 성장하도록 지원하고 대한민국이 ‘벤처 4대강국’으로 자리매김하도록 최선을 다할 계획”이라고 밝혔다.,"{'word': 'Facebook', 'start_idx': 42, 'end_idx': 49, 'type': 'ORG'}","{'word': '페이스북', 'start_idx': 37, 'end_idx': 40, 'type': 'ORG'}",org:alternate_names,policy_briefing
32,"양당이 모두 해체한 뒤 신당을 창당하는 것이 아닌 유신당이 해체 뒤 기존의 민주당에 합류하는 방식이기 때문에, 옛 모두의 당 시절 비례대표로 선출되어 두레당을 거쳐 유신당에 합류했던 참의원 의원 5명(오노 지로, 가와다 류헤이, 시바타 다쿠미, 데라타 스케시로, 마야마 유이치)은 국회법 제109조의 2의 규정에 의해 신당에 입당할 경우 의원직이 자동 박탈되기 때문에 유신당 해체와 함께 임기 만료 전까지 무소속 신분을 유지하게 되었다.","{'word': '두레당', 'start_idx': 84, 'end_idx': 86, 'type': 'ORG'}","{'word': '유신당', 'start_idx': 92, 'end_idx': 94, 'type': 'ORG'}",no_relation,wikipedia
43,대한민국에서는 2008년 대원미디어㈜에서 수입하여 자사인 대원방송㈜에서 더빙 작업을 진행하여 《짱구는 못말려 극장판: 부리부리 3분 대작전》이라는 이름으로 방영되었다.,"{'word': '대원방송', 'start_idx': 32, 'end_idx': 35, 'type': 'ORG'}","{'word': '대원미디어', 'start_idx': 14, 'end_idx': 18, 'type': 'ORG'}",org:member_of,wikipedia
