id,sentence,subject_entity,object_entity,label,source
0,〈Something〉는 조지 해리슨이 쓰고 비틀즈가 1969년 앨범 《Abbey Road》에 담은 노래다.,"{'word': '비틀즈', 'start_idx': 24, 'end_idx': 26, 'type': 'ORG'}","{'word': '조지 해리슨', 'start_idx': 13, 'end_idx': 18, 'type': 'PER'}",no_relation,wikipedia
3,균일가 생활용품점 (주)아성다이소(대표 박정부)는 코로나19 바이러스로 어려움을 겪고 있는 대구광역시에 행복박스를 전달했다고 10일 밝혔다.,"{'word': '아성다이소', 'start_idx': 13, 'end_idx': 17, 'type': 'ORG'}","{'word': '박정부', 'start_idx': 22, 'end_idx': 24, 'type': 'PER'}",org:top_members/employees,wikitree
12,"2009년 9월, 미국 프로 야구 필라델피아 필리스 소속의 야구 선수 박찬호는 《MBC 스페셜-박찬호는 당신을 잊지 않았다》 편에서 “최진실 씨의 아픔과 죽음의 고통을 이해합니다. 최진실 씨 사건에 눈물을 흘렸습니다. 저도 죽으려고 마음을 먹었던 적이 있었습니다. 잘하려고 애를 쓰는데 비난과 비판이 쏟아졌습니다. 머리가 빠지고 너무 힘들었습니다”라고 말하며 최진실의 죽음에 대해 안타까움을 표현했다.","{'word': '필라델피아 필리스', 'start_idx': 19, 'end_idx': 27, 'type': 'ORG'}","{'word': '박찬호', 'start_idx': 39, 'end_idx': 41, 'type': 'PER'}",org:top_members/employees,wikipedia
26,본가가 양돈업을 운영하고 있었던 점도 있어 닛폰햄 구단주인 오코소 요시노리는 가족도 알고 있어 할아버지 등을 걱정해 준 것에 대해 감사를 표했다고 한다.,"{'word': '닛폰햄', 'start_idx': 24, 'end_idx': 26, 'type': 'ORG'}","{'word': '오코소 요시노리', 'start_idx': 33, 'end_idx': 40, 'type': 'PER'}",no_relation,wikipedia
35,"로버트 조지 (바비) 실(Robert George (Bobby)(Bobby) Seale, 1936년 10월 22일 ~ )은 아프리카계 미국인 인권 운동가이자, 휴이 뉴튼과 함께 흑표당의 창립자이다.","{'word': '흑표당', 'start_idx': 99, 'end_idx': 101, 'type': 'ORG'}","{'word': '휴이 뉴튼', 'start_idx': 89, 'end_idx': 93, 'type': 'PER'}",org:founded_by,wikipedia
36,곡성군(군수 유근기)은 상수도 사용 가구를 대상으로 올해부터 옥내 급수관 누수탐사 서비스를 연중 제공한다고 밝혔다.,"{'word': '곡성군', 'start_idx': 0, 'end_idx': 2, 'type': 'ORG'}","{'word': '유근기', 'start_idx': 7, 'end_idx': 9, 'type': 'PER'}",org:top_members/employees,wikitree
37,김성수의 누이동생 김점효와 결혼하였으며 경성방직(1970년 경방으로 사명 변경)의 4대 사장으로 1946년 취임해 1975년 명예회장으로 경영일선에서 물러날 때까지 경방의 경영을 이끌었으며 전국경제인연합회 회장을 6차례 지냈다.,"{'word': '경성방직', 'start_idx': 22, 'end_idx': 25, 'type': 'ORG'}","{'word': '김성수', 'start_idx': 0, 'end_idx': 2, 'type': 'PER'}",no_relation,wikipedia
39,앞서 구혜선은 안재현이 소속사인 HB엔터테인먼트의 문보미 대표와 자신을 험담했다고 주장한 바 있다.,"{'word': 'HB엔터테인먼트', 'start_idx': 18, 'end_idx': 25, 'type': 'ORG'}","{'word': '문보미', 'start_idx': 28, 'end_idx': 30, 'type': 'PER'}",org:top_members/employees,wikitree
53,공무원연금공단(이사장 정남준)은 10월 28일부터 11월 1일까지 '인권 존중·배려 주간'을 운영하여 직장 내 괴롭힘 근절 등 인권경영 실천에 앞장선다.,"{'word': '공무원연금공단', 'start_idx': 0, 'end_idx': 6, 'type': 'ORG'}","{'word': '정남준', 'start_idx': 12, 'end_idx': 14, 'type': 'PER'}",org:top_members/employees,wikitree
59,이에 최재호 무학그룹 회장은 “무학의 90주년을 축하해주기 위해 먼 걸음해주신 전호환 부산대학교 총장을 비롯한 임직원분들께 감사하다”며 “기업의 승승장구를 기원해주신 만큼 그 뜻에 무학 임직원 모두 지역 경제에 보탬이 될 수 있도록 열심히 노력하겠다”고 답했다.,"{'word': '부산대학교', 'start_idx': 48, 'end_idx': 52, 'type': 'ORG'}","{'word': '전호환', 'start_idx': 44, 'end_idx': 46, 'type': 'PER'}",org:top_members/employees,wikitree
60,곡성군(군수 유근기)이 ‘희망 2019 나눔캠페인 우수기관’으로 선정돼 전남공동모금회로부터 감사패를 전달받았다.,"{'word': '곡성군', 'start_idx': 0, 'end_idx': 2, 'type': 'ORG'}","{'word': '유근기', 'start_idx': 7, 'end_idx': 9, 'type': 'PER'}",org:top_members/employees,wikitree
65,김종식 목포시장을 비롯한 목포시청 직원 150여명은 2020학년도 대학수학능력시험이 치러진 14일 아침 목포마리아회고등학교를 비롯한 7개 시험장을 찾아 수험생을 응원하고 학부모를 격려했다.,"{'word': '목포시', 'start_idx': 14, 'end_idx': 16, 'type': 'ORG'}","{'word': '김종식', 'start_idx': 0, 'end_idx': 2, 'type': 'PER'}",org:top_members/employees,wikitree
75,더군다나 이날 경기에는 잔니 인판티노 국제축구연맹(FIFA) 회장까지 관전했지만 북한은 '무관중 상태'로 킥오프에 나섰다.,"{'word': '국제축구연맹', 'start_idx': 21, 'end_idx': 26, 'type': 'ORG'}","{'word': '잔니 인판티노', 'start_idx': 13, 'end_idx': 19, 'type': 'PER'}",org:top_members/employees,wikitree
93,전남도교육청(교육감 장석웅)과 광주교육대학교(총장 최도성)는 21일 오전 광주교육대학교에서 전남 교원 및 예비교사의 교육혁신 역량강화를 위한 교류협약을 체결했다.,"{'word': '광주교육대학교', 'start_idx': 41, 'end_idx': 47, 'type': 'ORG'}","{'word': '최도성', 'start_idx': 28, 'end_idx': 30, 'type': 'PER'}",org:top_members/employees,wikitree
95,"24일 익산시에 따르면 이날 열린 간부회의에서 정헌율 익산시장이 ""어린이집 개원연기에 대해 관련기관과 협의해 검토하라""고 말했다.","{'word': '익산시', 'start_idx': 4, 'end_idx': 6, 'type': 'ORG'}","{'word': '정헌율', 'start_idx': 26, 'end_idx': 28, 'type': 'PER'}",org:top_members/employees,wikitree
97,영광군(군수 김준성)은 지난 5일 농업회사법인(주)반석(대표 오규석)과 농특산물 구매약정과 판로확대 업무협약을 체결했다.,"{'word': '영광군', 'start_idx': 0, 'end_idx': 2, 'type': 'ORG'}","{'word': '김준성', 'start_idx': 7, 'end_idx': 9, 'type': 'PER'}",org:top_members/employees,wikitree
103,"서울은퇴공무원상록자원봉사단은 2019년 4월 공무원연금공단(이사장 정남준) 서울지부의 후원으로 결성된 단체로서 ‘구세군자선냄비 거리모금’ 활동에 적극 참여하여 표창을 수여받게 되었으며, 이외에도 ‘제100회 서울시 전국체육대회’ 및 ‘제39회 전국장애인체육대회’의 성공적 개최를 위한 자원봉사활동에도 참여하는 등 사회공헌활동을 활발히 펼쳤다.","{'word': '공무원연금공단', 'start_idx': 25, 'end_idx': 31, 'type': 'ORG'}","{'word': '정남준', 'start_idx': 37, 'end_idx': 39, 'type': 'PER'}",org:top_members/employees,wikitree
120,또 이날 성윤모 산업통상자원부 장관이 세코 히로시게 일본 경제산업상의 트윗에 반박한 페북을 소개했다.,"{'word': '산업통상자원부', 'start_idx': 9, 'end_idx': 15, 'type': 'ORG'}","{'word': '성윤모', 'start_idx': 5, 'end_idx': 7, 'type': 'PER'}",org:top_members/employees,wikitree
122,정동균 양평군수는 “다가오는 새해 주민들의 생생한 목소리를 듣고 양평군이 나아가야 할 방향을 함께 모색하는 소중한 자리에 많은 주민의 참여를 부탁드린다”고 전했으며 “군민이 주인인 양평을 만들기 위해 지속적인 소통의 장을 마련하겠다”고 전했다.,"{'word': '양평군', 'start_idx': 36, 'end_idx': 38, 'type': 'ORG'}","{'word': '정동균', 'start_idx': 0, 'end_idx': 2, 'type': 'PER'}",org:top_members/employees,wikitree
127,"공무원연금공단(이사장 정남준)은 지역사회가 한데 어우러져 소통하는 기회를 마련하고자 15일 공단 제주본사에서 ""다 같이! 더 가치! 상생 2019"" 행사를 열었다.","{'word': '공무원연금공단', 'start_idx': 0, 'end_idx': 6, 'type': 'ORG'}","{'word': '정남준', 'start_idx': 12, 'end_idx': 14, 'type': 'PER'}",org:top_members/employees,wikitree
131,고흥군(군수 송귀근)이 일자리창출과 군민체감 효과가 높고 지역의 성장동력을 확보하기 위한 2021년도 국가예산 신규사업 발굴에 온 힘을 쏟고 있다.,"{'word': '고흥군', 'start_idx': 0, 'end_idx': 2, 'type': 'ORG'}","{'word': '송귀근', 'start_idx': 7, 'end_idx': 9, 'type': 'PER'}",org:top_members/employees,wikitree
133,전라남도교육청(교육감 장석웅)이 중국 우한시 발생 신종 코로나바이러스 확산을 차단하기 위해 총력 대응에 나섰다.,"{'word': '전라남도교육청', 'start_idx': 0, 'end_idx': 6, 'type': 'ORG'}","{'word': '장석웅', 'start_idx': 12, 'end_idx': 14, 'type': 'PER'}",org:top_members/employees,wikitree
139,"1952년 제1차 개정 헌법(제36조제2항) 이후에는 부통령이 참의원(상원)의 의장도 겸하도록 규정하였으나, 1956년 야당 인사인 장면이 부통령에 당선되자 당시 이승만 정부의 집권당인 자유당이 국회법 개정과 참의원의원선거법 제정 요구를 묵살하여 참의원 구성을 위한 선거 자체가 실시되지 않았다.","{'word': '자유당', 'start_idx': 104, 'end_idx': 106, 'type': 'ORG'}","{'word': '이승만', 'start_idx': 91, 'end_idx': 93, 'type': 'PER'}",org:top_members/employees,wikipedia
158,"지난 5일 SBS 보도에 따르면 최근 서수길 대표는 아프리카TV BJ 김인호(김영진) 생방송 중 채팅창을 통해 ""(방송) 제재 당한 것 때문에 대상 타지 못한 게 안타까워서 그렇다. 사고쳐도 된다. 시도 하다보면 실수도 할 수 있는 거지""라고 말했다.","{'word': '아프리카TV', 'start_idx': 29, 'end_idx': 34, 'type': 'ORG'}","{'word': '서수길', 'start_idx': 21, 'end_idx': 23, 'type': 'PER'}",org:top_members/employees,wikitree
163,부산과학기술대학교(총장 강기성)는 중소벤처기업부가 주관하는 기술사관육성사업에 참여한 졸업생 전원이 취업에 성공했다고 지난 2일 밝혔다.,"{'word': '부산과학기술대학교', 'start_idx': 0, 'end_idx': 8, 'type': 'ORG'}","{'word': '강기성', 'start_idx': 13, 'end_idx': 15, 'type': 'PER'}",org:top_members/employees,wikitree
174,1988년 제13대 총선에서 김영삼의 통일민주당 소속으로 당선되어 통일민주당의 부총재를 맡았다.,"{'word': '통일민주당', 'start_idx': 21, 'end_idx': 25, 'type': 'ORG'}","{'word': '김영삼', 'start_idx': 16, 'end_idx': 18, 'type': 'PER'}",org:top_members/employees,wikipedia
180,"2005년부터 레이 달리오는 브리지워터 어소시에이츠 직원들에게 ""Principles"" (원칙) 이라는 제목의 자필 안내서를 배포하고 필독하기를 권고했다.","{'word': '브리지워터 어소시에이츠', 'start_idx': 16, 'end_idx': 27, 'type': 'ORG'}","{'word': '레이 달리오', 'start_idx': 8, 'end_idx': 13, 'type': 'PER'}",org:top_members/employees,wikipedia
184,한국타이어앤테크놀로지㈜(대표이사 조현범)가 17일 대전광역시 대덕구와 충청남도 태안군에 코로나바이러스감염증 확산 방지와 예방을 위한 성금을 전달했다.,"{'word': '한국타이어앤테크놀로지', 'start_idx': 0, 'end_idx': 10, 'type': 'ORG'}","{'word': '조현범', 'start_idx': 18, 'end_idx': 20, 'type': 'PER'}",org:top_members/employees,wikitree
186,11번가 주식회사(사장 이상호)가 161개 중소 협력사·납품업체를 위해 50억원 규모의 조기 대금지급을 결정했다고 9일 밝혔다.,"{'word': '11번가', 'start_idx': 0, 'end_idx': 3, 'type': 'ORG'}","{'word': '이상호', 'start_idx': 13, 'end_idx': 15, 'type': 'PER'}",org:top_members/employees,wikitree
193,"경남대학교(총장 박재규)는 ‘제9회 한국대학역도연맹회장기 역도경기대회’에서 금메달 8개, 은메달 8개, 동메달 5개를 획득하고 대회신기록 11개를 수립했다.","{'word': '경남대학교', 'start_idx': 0, 'end_idx': 4, 'type': 'ORG'}","{'word': '박재규', 'start_idx': 9, 'end_idx': 11, 'type': 'PER'}",org:top_members/employees,wikitree
195,"이날 광양시청에서 가진 협약식에는 김기열 ㈜에이치에스에너지 대표, 김병숙 한국서부발전㈜ 사장, 최석우 경남스틸㈜ 대표, 김기석 ㈜파워엔지니어링 대표, 김병철 엔지원㈜ 대표, 강순우 ㈜우리포장 사장, 김영록 전라남도지사, 이용재 전라남도의회 의장, 정현복 광양시장 등이 참석했다.","{'word': '한국서부발전', 'start_idx': 41, 'end_idx': 46, 'type': 'ORG'}","{'word': '김병숙', 'start_idx': 37, 'end_idx': 39, 'type': 'PER'}",org:top_members/employees,wikitree
197,해남군(군수 명현관)이 임산부 및 영유아에게 보충식품을 배송해주는 영양플러스을 실시한다.,"{'word': '해남군', 'start_idx': 0, 'end_idx': 2, 'type': 'ORG'}","{'word': '명현관', 'start_idx': 7, 'end_idx': 9, 'type': 'PER'}",org:top_members/employees,wikitree
198,"14일 정읍시에 따르면 이날 유진섭 시장을 비롯해 정읍시 씨름협회 임원과 강광 정읍시 체육회장, 단풍미인씨름단 감독, 코치, 선수 등이 참석한 가운데 직장운동경기부인은 단풍미인씨름단 시무식이 진행됐다.","{'word': '정읍시', 'start_idx': 4, 'end_idx': 6, 'type': 'ORG'}","{'word': '유진섭', 'start_idx': 16, 'end_idx': 18, 'type': 'PER'}",org:top_members/employees,wikitree
201,이만희 신천지예수교 증거장막성전(이하 신천지) 총회장이 2일 오후 경기 가평 신천지 평화의 궁전에서 코로나바이러스 감염증(코로나19) 사태와 관련해 공식 입장을 밝히는 기자회견을 가졌다.,"{'word': '신천지예수교 증거장막성전', 'start_idx': 4, 'end_idx': 16, 'type': 'ORG'}","{'word': '이만희', 'start_idx': 0, 'end_idx': 2, 'type': 'PER'}",org:top_members/employees,wikitree
208,"경기 남양주시(시장 조광한)는 5일 경춘선 평내호평역 앞 광장에서 청년창업복합단지(Youth Start-up Campus N) 착공식을 개최하고, 한국철도공사(사장 손병석), 한국철도시설공단(이사장 김상균)과 평내호평역 광장 및 철도부지 활용에 관한 업무협약(MOU)을 체결했다.","{'word': '한국철도시설공단', 'start_idx': 98, 'end_idx': 105, 'type': 'ORG'}","{'word': '김상균', 'start_idx': 111, 'end_idx': 113, 'type': 'PER'}",org:top_members/employees,wikitree
