id,sentence,subject_entity,object_entity,label,source
30,"미국 정부는 1942년 2월 24일 전 세계의 청취자를 대상으로 태평양 전쟁의 전쟁상황을 알리기 위한 방송인 미국의 소리(VOA, Voice of America)를 개국하였다.","{'word': '미국의 소리', 'start_idx': 61, 'end_idx': 66, 'type': 'ORG'}","{'word': 'Voice of America', 'start_idx': 73, 'end_idx': 88, 'type': 'POH'}",org:alternate_names,wikipedia
50,"1924년 11월 26일에는 정부 형태를 군주제에서 인민 공화제로 고쳐 국호를 몽골 인민 공화국으로 정하고, 세계에서 2번째로 공산주의 국가가 되었다.","{'word': '몽골 인민 공화국', 'start_idx': 44, 'end_idx': 52, 'type': 'ORG'}","{'word': '공화제', 'start_idx': 32, 'end_idx': 34, 'type': 'POH'}",org:political/religious_affiliation,wikipedia
70,파나소닉이 대만 누보톤 테크놀로지에 반도체 부문 주식을 매각한다고 니혼게이자이신문이 28일 보도했다.,"{'word': '누보톤', 'start_idx': 9, 'end_idx': 11, 'type': 'ORG'}","{'word': '반도체', 'start_idx': 20, 'end_idx': 22, 'type': 'POH'}",no_relation,wikitree
83,진도군은 진도개를 보기 위해 찾아온 관람객들에게 더욱 흥미롭고 즐거움을 선사하기 위해 ▲팔백리길을 돌아온 백구 생가 토피어리 조형물 ▲어로(犬수영장)수렵장 ▲진도개 애견 캠핑장 등도 운영하고 있다.,"{'word': '진도군', 'start_idx': 0, 'end_idx': 2, 'type': 'ORG'}","{'word': '진도개', 'start_idx': 5, 'end_idx': 7, 'type': 'POH'}",no_relation,wikitree
108,"2004년 11월 3일, 로마의 스타디오 올림피코에서 벌어진 AS 로마와의 UEFA 챔피언스리그 2004-05 경기에서 라멜로프는 AS 로마의 프란체스코 토티와 싸움이 붙었다.","{'word': 'AS 로마', 'start_idx': 34, 'end_idx': 38, 'type': 'ORG'}","{'word': '스타디오 올림피코', 'start_idx': 18, 'end_idx': 26, 'type': 'POH'}",no_relation,wikipedia
151,2009년 한국시리즈에서 KIA 타이거즈의 우승 멤버로도 활약했지만 연봉 협상에서 조건이 맞지 않아 재계약이 결렬되어 KIA를 떠나게 되었다.,"{'word': 'KIA 타이거즈', 'start_idx': 14, 'end_idx': 21, 'type': 'ORG'}","{'word': '2009년 한국시리즈', 'start_idx': 0, 'end_idx': 10, 'type': 'POH'}",org:member_of,wikipedia
168,"2009년 10월 22일, 사비올라는 5-0으로 이긴 에버턴과의 UEFA 유로파리그 경기에서 2골을 추가해 5-0 승리를 견인했고, (그는 2-0으로 이긴 리버풀과의 2번째 경기에서도 득점을 올렸다.) 6-1 대승을 거둔 나시오날과의 나흘 뒤 ""독수리 군단"" (Águias)의 프리메이라리가 경기에서도 2골을 기록했다.","{'word': '프리메이라리가', 'start_idx': 155, 'end_idx': 161, 'type': 'ORG'}","{'word': 'UEFA', 'start_idx': 36, 'end_idx': 39, 'type': 'POH'}",no_relation,wikipedia
170,"/ 카스티야의 세군다 디비시온 B 개막전 공식 경기 보고서에 따르면, 산티아고 산체스가 ""하얀 군단""의 감독으로 되어 있었고, 지단이 수석 코치로 기록되었지만, 갈란은 ""이 서열은 서류상에만 존재합니다. 사실은 이와 정반대입니다: 지단은 현재 레알 마드리드 카스티야의 감독이며, 한편, 그의 동료들에게 죄송하지만, 산체스 씨의 역할은 감독 자격증을 보여주는 것 외에는 없습니다.""라고 계속해서 주장을 이어나갔다.","{'word': '레알 마드리드 카스티야', 'start_idx': 136, 'end_idx': 147, 'type': 'ORG'}","{'word': '세군다 디비시온 B', 'start_idx': 8, 'end_idx': 17, 'type': 'POH'}",no_relation,wikipedia
196,글러브의 부친은 프레더릭 맨리 글러브 경으로 제1차 세계 대전 당시 영국 제2군의 공병 참모로 일했었다.,"{'word': '제2군', 'start_idx': 41, 'end_idx': 43, 'type': 'ORG'}","{'word': '제1차 세계 대전', 'start_idx': 25, 'end_idx': 33, 'type': 'POH'}",no_relation,wikipedia
225,이어 대한민국 임시정부와 연합하는데 반대하여 화북으로 올라온 조선의용대원들을 합류시켜 무정 등과 함께 조선의용군으로 이름을 개칭하고 조선독립동맹의 군사단체로 활용하였다.,"{'word': '조선의용군', 'start_idx': 57, 'end_idx': 61, 'type': 'ORG'}","{'word': '조선의용대', 'start_idx': 34, 'end_idx': 38, 'type': 'POH'}",org:alternate_names,wikipedia
236,"이후 해외한민족교육진흥회 이사장을 거쳐 민주평화통일자문회의 수석 부의장 후보로 지명되던 김덕룡이 이명박 대통령의 국민통합특보에 임명되면서 2008년 9월 정부로부터 민주평화통일자문회의의 수석 부의장에 임명되었으나, (이명박 지지에 대한) ""보은성 인사""의 논란이 일었다.","{'word': '민주평화통일자문회의', 'start_idx': 92, 'end_idx': 101, 'type': 'ORG'}","{'word': '대통령', 'start_idx': 58, 'end_idx': 60, 'type': 'POH'}",no_relation,wikipedia
248,2016년 10월 30일 FC 안양과의 최종전서 승리를 거두며 2016년 K리그 챌린지 우승을 확정지었으며 안산 무궁화 축구단은 2017 시즌부터 아산 무궁화 축구단으로 새롭게 출발하였다.,"{'word': '안산 무궁화 축구단', 'start_idx': 60, 'end_idx': 69, 'type': 'ORG'}","{'word': 'K리그 챌린지', 'start_idx': 41, 'end_idx': 47, 'type': 'POH'}",org:member_of,wikipedia
254,그리고 리그 오브 레전드 월드 챔피언십 2018에서 KT를 8강으로 안착시킨 후 2018년 11월 22일 LCK 스프링 2018 준우승팀인 아프리카 프릭스의 유니폼으로 갈아입은 손우현은 약 1년간 활동하는 동안 LCK 서머 2019 포스트시즌 진출(와일드카드 결정전) 외에는 이렇다할 성적을 거두지 못했고 이후 2020년 1월 14일 LCK 3연속 준우승팀인 그리핀의 유니폼으로 갈아입었으나 LCK 스프링 2020 최하위 및 2년만의 챌린저스 강등을 막지 못한 채 4개월만에 그리핀에서 퇴단하여 같은 해 5월 27일 친정팀인 KT 롤스터로 1년 6개월만에 복귀하였다.,"{'word': '아프리카 프릭스', 'start_idx': 78, 'end_idx': 85, 'type': 'ORG'}","{'word': '리그 오브 레전드', 'start_idx': 4, 'end_idx': 12, 'type': 'POH'}",no_relation,wikipedia
296,"2017년 1월, TWRP 팀은 루트 접근 권한을 사용하여 리커버리를 플래시할 수 있게 하는 안드로이드 애플리케이션을 출시하였으나, 리커버리와 달리 앱은 사유 소프트웨어이다.","{'word': 'TWRP 팀', 'start_idx': 10, 'end_idx': 15, 'type': 'ORG'}","{'word': '안드로이드', 'start_idx': 52, 'end_idx': 56, 'type': 'POH'}",no_relation,wikipedia
355,"캄푸치아 인민공화국, 에티오피아 인민 민주주의공화국, 남예멘이 공산주의를 버렸고, 몽골 인민 공화국에서는 혁명이 발생해 공산주의의 일당 체제가 붕괴되었다.","{'word': '몽골 인민 공화국', 'start_idx': 46, 'end_idx': 54, 'type': 'ORG'}","{'word': '공산주의', 'start_idx': 35, 'end_idx': 38, 'type': 'POH'}",org:political/religious_affiliation,wikipedia
390,일본 프로 야구 포스트 시즌에서 1차전의 선발로 나선 고졸 신인 투수는 센트럴 리그와 퍼시픽 리그를 통틀어 이 경기에서의 후지나미가 처음이다.,"{'word': '퍼시픽 리그', 'start_idx': 48, 'end_idx': 53, 'type': 'ORG'}","{'word': '일본 프로 야구', 'start_idx': 0, 'end_idx': 7, 'type': 'POH'}",org:member_of,wikipedia
