id,sentence,subject_entity,object_entity,label,source
7,"박용오(朴容旿, 1937년 4월 29일(음력 3월 19일)(음력 3월 19일) ~ 2009년 11월 4일)는 서울에서 태어난 대한민국의 기업인으로 두산그룹 회장, KBO 총재 등을 역임했다.","{'word': '박용오', 'start_idx': 0, 'end_idx': 2, 'type': 'PER'}","{'word': '1937년 4월 29일', 'start_idx': 9, 'end_idx': 20, 'type': 'DAT'}",per:date_of_birth,wikipedia
14,"조토 디 본도네, 마사초, 피에로 델라 프란체스카, 도메니코 기를란다요, 페루지노, 미켈란젤로, 라파엘로, 보티첼리, 레오나르도 다빈치, 티치아노 등으로 대표되는 이탈리아 르네상스 회화는 당대와 그 이후의 시기 유럽 전체에 영향을 주었다.","{'word': '미켈란젤로', 'start_idx': 47, 'end_idx': 51, 'type': 'PER'}","{'word': '르네상스', 'start_idx': 96, 'end_idx': 99, 'type': 'DAT'}",no_relation,wikipedia
45,영국의 제임스 클라크 로스(1800년 ~ 1862년) 경은 1839년 10월 ‘에레부스’호와 ‘테러’호로 영국을 떠나 자남극을 찾아갔다.,"{'word': '제임스 클라크 로스', 'start_idx': 4, 'end_idx': 13, 'type': 'PER'}","{'word': '1800년 ~ 1862년', 'start_idx': 15, 'end_idx': 27, 'type': 'DAT'}",per:date_of_birth,wikipedia
62,"김동성(金東聖, 1980년 2월 9일 ~)은 대한민국의 쇼트트랙 선수이다.","{'word': '김동성', 'start_idx': 0, 'end_idx': 2, 'type': 'PER'}","{'word': '1980년 2월 9일', 'start_idx': 9, 'end_idx': 19, 'type': 'DAT'}",per:date_of_birth,wikipedia
79,"1900년, 의화단의 난이 일어나 청나라 조정이 열강에 선전 포고를 했을 때에, 이홍장, 장지동, 유곤일 등 지방 총독은 열강과 “동남상호협정”을 맺고 중앙의 명령을 무시했지만, 성선회가 이것을 정리하였다.","{'word': '유곤일', 'start_idx': 55, 'end_idx': 57, 'type': 'PER'}","{'word': '청나라', 'start_idx': 19, 'end_idx': 21, 'type': 'DAT'}",per:origin,wikipedia
87,"그는 우리 모두 “특별히 이 위대한 제후(미카엘)의 영광을 기리며 하느님께 찬미와 제물을 바쳐야 한다”고 말하면서, 성모 승천 대축일(8월 15일)부터 성 미카엘 대천사 축일(9월 29일)까지 약 40일 동안 금식하기도 하였다.","{'word': '미카엘', 'start_idx': 23, 'end_idx': 25, 'type': 'PER'}","{'word': '9월 29일', 'start_idx': 98, 'end_idx': 103, 'type': 'DAT'}",no_relation,wikipedia
96,1987년 대통령 선거에서 노태우는 전국 득표율 36%로 김영삼과 김대중 그리고 김종필을 물리치고 대통령에 당선되었다.,"{'word': '김대중', 'start_idx': 37, 'end_idx': 39, 'type': 'PER'}","{'word': '1987년', 'start_idx': 0, 'end_idx': 4, 'type': 'DAT'}",no_relation,wikipedia
117,또한 김영삼 정부가 출범한 직후인 1993년 4월 2일 서울특별시 용산구 동빙고동 군인아파트에 익명의 군인에 의해 '하나회' 명단이 살포되었다.,"{'word': '김영삼', 'start_idx': 3, 'end_idx': 5, 'type': 'PER'}","{'word': '1993년', 'start_idx': 19, 'end_idx': 23, 'type': 'DAT'}",no_relation,wikipedia
152,"헌강왕(憲康王, ~ 886년, 재위: 875년 ~ 886년)은 신라의 제49대 왕이다.","{'word': '헌강왕', 'start_idx': 0, 'end_idx': 2, 'type': 'PER'}","{'word': '875년', 'start_idx': 21, 'end_idx': 24, 'type': 'DAT'}",no_relation,wikipedia
155,"김경징이 처형되지 않고 귀양을 가게 되자 신하들은 완강히 김경징과 당시 강화부유수 장신을 책임을 물어 죽여야 한다고 거듭 주장하였고, 결국 1637년 2월 22일 인조는 김경징과 장신에게 사약을 내렸다.","{'word': '김경징', 'start_idx': 32, 'end_idx': 34, 'type': 'PER'}","{'word': '1637년 2월 22일', 'start_idx': 78, 'end_idx': 89, 'type': 'DAT'}",per:date_of_death,wikipedia
172,"소크라테스는 ""젊은이를 타락시키고 신들을 믿지 않는다""는 이유로 기소되었지만, 소크라테스가 기소된 기원전 399년은 펠로폰네소스 전쟁이 지속되고 있었다는 점을 볼 때, 그가 평소에 하였던 가르침이 민주주의를 훼손하는 것이라고 판단한 정치적 이유가 더 컸다.","{'word': '소크라테스', 'start_idx': 44, 'end_idx': 48, 'type': 'PER'}","{'word': '기원전 399년', 'start_idx': 55, 'end_idx': 62, 'type': 'DAT'}",no_relation,wikipedia
182,후지와라노 후히토(659년 ~ 720년)은 아스카 시대 및 나라 시대 초기의 공경대신이다.,"{'word': '후지와라', 'start_idx': 0, 'end_idx': 3, 'type': 'PER'}","{'word': '아스카 시대', 'start_idx': 24, 'end_idx': 29, 'type': 'DAT'}",no_relation,wikipedia
185,"한상길(1987년 9월 5일 ~)은 대한민국의 남자 배구 선수이며, 인천 대한항공 점보스 소속의 센터이다.","{'word': '한상길', 'start_idx': 0, 'end_idx': 2, 'type': 'PER'}","{'word': '1987년 9월 5일', 'start_idx': 4, 'end_idx': 14, 'type': 'DAT'}",per:date_of_birth,wikipedia
189,안효섭(1995년 4월 17일 ~)은 대한민국에서 활동하는 캐나다 국적의 배우이다.,"{'word': '안효섭', 'start_idx': 0, 'end_idx': 2, 'type': 'PER'}","{'word': '1995년 4월 17일', 'start_idx': 4, 'end_idx': 15, 'type': 'DAT'}",per:date_of_birth,wikipedia
209,'BTS 패션돌'은 방탄소년단의 2018년 곡 'Idol(아이돌)' 뮤직비디오에서 영감을 받아 만들어졌다.,"{'word': '방탄소년단', 'start_idx': 11, 'end_idx': 15, 'type': 'PER'}","{'word': '2018', 'start_idx': 18, 'end_idx': 21, 'type': 'DAT'}",no_relation,wikitree
211,"박승원(朴陞原, 1965년 2월 22일 ~)은 대한민국의 정치인이다.","{'word': '박승원', 'start_idx': 0, 'end_idx': 2, 'type': 'PER'}","{'word': '1965년', 'start_idx': 9, 'end_idx': 13, 'type': 'DAT'}",per:date_of_birth,wikipedia
214,"’라고 기술하여, 동예의 위치를 지금의 강릉시 일대로 비정하고 있다. 《동사강목》에서는 ‘고구려 태조왕이 동옥저를 취하였는데, 그 땅이 동쪽으로는 창해에 이르렀다 하였으니, 동옥저의 땅은 지금의 함경남도인 것이다.","{'word': '태조왕', 'start_idx': 54, 'end_idx': 56, 'type': 'PER'}","{'word': '고구려', 'start_idx': 50, 'end_idx': 52, 'type': 'DAT'}",per:origin,wikipedia
215,"박흥식(朴興植, 1903년 9월 26일(1903년 음력 8월 6일)(1903년 음력 8월 6일) 대한제국 평안남도 용강 출생 - 1994년 5월 10일 대한민국 서울에서 별세.)은 일제 강점기의 대표적인 기업인이다.","{'word': '박흥식', 'start_idx': 0, 'end_idx': 2, 'type': 'PER'}","{'word': '1994년 5월 10일', 'start_idx': 72, 'end_idx': 83, 'type': 'DAT'}",per:date_of_death,wikipedia
217,"장민철(1991년 6월 17일 ~)은 대한민국의 전직 스타크래프트, 스타크래프트 II 프로게이머, 리그 오브 레전드 프로게임단 감독이자 해설가이며 현재 Gen.G e스포츠 리그 오브 레전드 프로게임단 아카데미 강사로 활동하고 있다.","{'word': '장민철', 'start_idx': 0, 'end_idx': 2, 'type': 'PER'}","{'word': '1991년 6월 17일', 'start_idx': 4, 'end_idx': 15, 'type': 'DAT'}",per:date_of_birth,wikipedia
237,우에노 주리(1986년 5월 25일 ~)는 일본의 여배우이다.,"{'word': '우에노 주리', 'start_idx': 0, 'end_idx': 5, 'type': 'PER'}","{'word': '1986년 5월 25일', 'start_idx': 7, 'end_idx': 18, 'type': 'DAT'}",per:date_of_birth,wikipedia
251,"로타(ROTTA, 본명 최원석, 1978년 8월 28일 ~, 포항시)는 대한민국의 사진가 및 비디오 디렉터이며 성범죄자이다.","{'word': 'ROTTA', 'start_idx': 3, 'end_idx': 7, 'type': 'PER'}","{'word': '1978년 8월 28일', 'start_idx': 18, 'end_idx': 29, 'type': 'DAT'}",per:date_of_birth,wikipedia
256,"배힘찬(Bae Him-chan), 1983년 12월 8일 ~ 은 대한민국의 투수이다.","{'word': '배힘찬', 'start_idx': 0, 'end_idx': 2, 'type': 'PER'}","{'word': '1983년 12월 8일', 'start_idx': 19, 'end_idx': 30, 'type': 'DAT'}",per:date_of_birth,wikipedia
258,"제이통 (JTONG, 1988년 2월 7일 ~)은 대한민국의 힙합 가수이다.","{'word': '제이통', 'start_idx': 0, 'end_idx': 2, 'type': 'PER'}","{'word': '1988년 2월 7일', 'start_idx': 12, 'end_idx': 22, 'type': 'DAT'}",per:date_of_birth,wikipedia
260,"신의손(申宜孫, 1960년 1월 12일 ~)은 러시아계 한국인 축구 선수로, 원래 이름은 발레리 콘스탄치노비치 사리체프(Valeriy Konstatinovich Sarychev)이며 소비에트 연방 타지크 소비에트 사회주의 공화국(현재 타지키스탄) 두샨베 출신이다.","{'word': '신의손', 'start_idx': 0, 'end_idx': 2, 'type': 'PER'}","{'word': '1960년 1월 12일', 'start_idx': 9, 'end_idx': 20, 'type': 'DAT'}",per:date_of_birth,wikipedia
271,"키드 커디(Kid Cudi, 1984년 1월 30일 ~)는 미국의 래퍼이다.","{'word': '키드 커디', 'start_idx': 0, 'end_idx': 4, 'type': 'PER'}","{'word': '1984년 1월 30일', 'start_idx': 16, 'end_idx': 27, 'type': 'DAT'}",per:date_of_birth,wikipedia
293,"광남 김익훈은 1619년 김장생의 손자이자 참판을 지내고 증 의정부영의정에 추증된 김반의 아들이며, 어머니는 첨중추(僉中樞) 김진려(金進礪)의 딸이다.","{'word': '김익훈', 'start_idx': 3, 'end_idx': 5, 'type': 'PER'}","{'word': '1619년', 'start_idx': 8, 'end_idx': 12, 'type': 'DAT'}",no_relation,wikipedia
308,"설공검(薛公儉, 1224년 ~ 1302년)은 고려의 문신(文臣)이다.","{'word': '설공검', 'start_idx': 0, 'end_idx': 2, 'type': 'PER'}","{'word': '1302년', 'start_idx': 17, 'end_idx': 21, 'type': 'DAT'}",per:date_of_death,wikipedia
327,프랑스 유학 중이던 1974년 8월 15일 광복절 기념 행사에서 어머니 육영수가 재일 한국인 문세광의 저격으로 살해당하였다는 소식을 듣고 급거 귀국하였다.,"{'word': '육영수', 'start_idx': 40, 'end_idx': 42, 'type': 'PER'}","{'word': '1974년 8월 15일', 'start_idx': 11, 'end_idx': 22, 'type': 'DAT'}",per:date_of_death,wikipedia
329,투개월 정식 데뷔 음반을 준비하던 중 도대윤이 고등학교 학업을 마치기 위하여 당분간 미국으로 떠나게 되자 그 동안 김예림은 자신의 첫 솔로 앨범인 《A Voice》를 발표하고 개인활동을 시작하였다.,"{'word': '김예림', 'start_idx': 64, 'end_idx': 66, 'type': 'PER'}","{'word': '투개월', 'start_idx': 0, 'end_idx': 2, 'type': 'DAT'}",per:employee_of,wikipedia
333,"블라디미르 게레로 주니어 (Vladimir Guerrero Jr., 1999년 3월 16일 ~)는 미국 프로야구 아메리칸 리그 토론토 블루제이스의 선수이다.","{'word': '블라디미르 게레로 주니어', 'start_idx': 0, 'end_idx': 12, 'type': 'PER'}","{'word': '1999년 3월 16일', 'start_idx': 38, 'end_idx': 49, 'type': 'DAT'}",per:date_of_birth,wikipedia
334,"2008년 한국시리즈 4차전에서 이종욱의 안타성 타구를 잡아 병살 처리를 하며, 매 경기 호수비를 통해 팀을 다시 정상으로 올려놓는 데 일조했다.","{'word': '이종욱', 'start_idx': 18, 'end_idx': 20, 'type': 'PER'}","{'word': '2008년', 'start_idx': 0, 'end_idx': 4, 'type': 'DAT'}",no_relation,wikipedia
358,"리셴녠(1909년 6월 23일 ~ 1992년 6월 21일)은 중화인민공화국의 군인, 정치가이다.","{'word': '리셴녠', 'start_idx': 0, 'end_idx': 2, 'type': 'PER'}","{'word': '1909년 6월 23일', 'start_idx': 4, 'end_idx': 15, 'type': 'DAT'}",per:date_of_birth,wikipedia
362,"최한림(崔翰林, 1971년 11월 15일 ~)은 전 KBO 리그 쌍방울 레이더스와 삼성 라이온즈의 투수이다.","{'word': '최한림', 'start_idx': 0, 'end_idx': 2, 'type': 'PER'}","{'word': '1971년 11월 15일', 'start_idx': 9, 'end_idx': 21, 'type': 'DAT'}",per:date_of_birth,wikipedia
366,"서기석(徐基錫, 1953년 2월 19일 ~)은 대한민국의 법관이다.","{'word': '서기석', 'start_idx': 0, 'end_idx': 2, 'type': 'PER'}","{'word': '1953년 2월 19일', 'start_idx': 9, 'end_idx': 20, 'type': 'DAT'}",per:date_of_birth,wikipedia
381,"안철수(安哲秀, 1962년 2월 26일 ~)는 대한민국의 의사, 프로그래머, 벤처기업인, 대학 교수 출신의 정치인이다.","{'word': '안철수', 'start_idx': 0, 'end_idx': 2, 'type': 'PER'}","{'word': '1962년 2월 26일', 'start_idx': 9, 'end_idx': 20, 'type': 'DAT'}",per:date_of_birth,wikipedia
415,임은수(2003년 2월 26일 ~)는 대한민국의 피겨스케이팅 선수이다.,"{'word': '임은수', 'start_idx': 0, 'end_idx': 2, 'type': 'PER'}","{'word': '2003년 2월 26일', 'start_idx': 4, 'end_idx': 15, 'type': 'DAT'}",per:date_of_birth,wikipedia
429,쇼 야노(1990년 10월 22일 ~)는 아시아계 미국인 신동이자 의사이다.,"{'word': '쇼 야노', 'start_idx': 0, 'end_idx': 3, 'type': 'PER'}","{'word': '1990년 10월 22일', 'start_idx': 5, 'end_idx': 17, 'type': 'DAT'}",per:date_of_birth,wikipedia
434,"김대중은 이에 관해 1987년에 관훈클럽 초청 토론회에서 직접 해명하였는데, 당시 부산에 건국대가 있었고 이 대학의 정치외교학과에 입학했으며 부산 건국대는 동아대학교와 합병되었다고 밝혔다.","{'word': '김대중', 'start_idx': 0, 'end_idx': 2, 'type': 'PER'}","{'word': '1987년', 'start_idx': 11, 'end_idx': 15, 'type': 'DAT'}",no_relation,wikipedia
448,"구시 칸(1582년 ~ 1655년 1월 14일)은 별명 그시리 칸, 본명 토르바이크(Трбайх, Torbaikh Khan)는 17세기 중반 몽골 오이라트부의 네 씨족 중 하나인 코슈트의 귀족으로, 코슈트 칸국의 창업군주다.","{'word': '구시 칸', 'start_idx': 0, 'end_idx': 3, 'type': 'PER'}","{'word': '1582년', 'start_idx': 5, 'end_idx': 9, 'type': 'DAT'}",per:date_of_birth,wikipedia
449,"양녕대군(讓寧大君, 1394년 ~ 1462년 9월 7일)은 조선 시대 초기의 왕세자이자 왕족, 정치인, 화가, 시인이다.","{'word': '양녕대군', 'start_idx': 0, 'end_idx': 3, 'type': 'PER'}","{'word': '1394년', 'start_idx': 11, 'end_idx': 15, 'type': 'DAT'}",per:date_of_birth,wikipedia
451,요제프 1세는 천연두에 걸려 1711년 4월 17일 빈에서 사망하였다.,"{'word': '요제프 1세', 'start_idx': 0, 'end_idx': 5, 'type': 'PER'}","{'word': '1711년 4월 17일', 'start_idx': 16, 'end_idx': 27, 'type': 'DAT'}",per:date_of_death,wikipedia
457,"류경수(柳京洙, 1915년 9월 9일 ~ 1958년 11월 19일)는 일제 강점기 공산주의 항일운동가이며 소비에트 연방, 조선민주주의인민공화국의 군인이다.","{'word': '류경수', 'start_idx': 0, 'end_idx': 2, 'type': 'PER'}","{'word': '1915년 9월 9일 ~ 1958년 11월 19일', 'start_idx': 9, 'end_idx': 35, 'type': 'DAT'}",per:date_of_birth,wikipedia
470,1845년부터 1855년까지 무함마드 아민 칸의 통치 아래 유목민들을 달래기 위한 히바 중앙정부의 정책은 어느 정도 성공했다.,"{'word': '무함마드 아민 칸', 'start_idx': 16, 'end_idx': 24, 'type': 'PER'}","{'word': '1855년', 'start_idx': 8, 'end_idx': 12, 'type': 'DAT'}",no_relation,wikipedia
473,임동혁(1984년 7월 25일 ~)은 대한민국의 피아니스트이다.,"{'word': '임동혁', 'start_idx': 0, 'end_idx': 2, 'type': 'PER'}","{'word': '1984년 7월 25일', 'start_idx': 4, 'end_idx': 15, 'type': 'DAT'}",per:date_of_birth,wikipedia
474,"페넬로페 크루스 산체스(1974년 4월 28일 ~)는 스페인의 배우, 모델이다.","{'word': '페넬로페 크루스 산체스', 'start_idx': 0, 'end_idx': 11, 'type': 'PER'}","{'word': '1974년 4월 28일', 'start_idx': 13, 'end_idx': 24, 'type': 'DAT'}",per:date_of_birth,wikipedia
480,"바즈겐 사르키샨(1959년 3월 5일 ~ 1999년 10월 27일)은 아르메니아의 군인, 정치인이다.","{'word': '바즈겐 사르키샨', 'start_idx': 0, 'end_idx': 7, 'type': 'PER'}","{'word': '1959년 3월 5일', 'start_idx': 9, 'end_idx': 19, 'type': 'DAT'}",per:date_of_birth,wikipedia
486,"김수자는 1957년 대구에서 태어났으며, 홍익대학교에서 서양화를 공부하였다.","{'word': '김수자', 'start_idx': 0, 'end_idx': 2, 'type': 'PER'}","{'word': '1957년', 'start_idx': 5, 'end_idx': 9, 'type': 'DAT'}",per:date_of_birth,wikipedia
501,데이비드 흄(1711년 4월 26일 - 1776년 8월 25일)은 스코틀랜드 출신의 철학자이자 경제학자이며 역사가이다.,"{'word': '데이비드 흄', 'start_idx': 0, 'end_idx': 5, 'type': 'PER'}","{'word': '1776년 8월 25일', 'start_idx': 22, 'end_idx': 33, 'type': 'DAT'}",per:date_of_death,wikipedia
536,"19세기 후반 청나라 말기에 프랑스 상하이 조계의 일부였고, 청조 관헌의 행정권이 미치지 않은 지역이었기 때문에 쑨원이나 궈모뤄, 마오쩌둥, 저우언라이, 메이란팡 등 민국 기에 걸쳐 활약한 혁명가가 거주하던 곳이었다.","{'word': '마오쩌둥', 'start_idx': 73, 'end_idx': 76, 'type': 'PER'}","{'word': '청나라', 'start_idx': 8, 'end_idx': 10, 'type': 'DAT'}",no_relation,wikipedia
597,"플루타르코스의 기록에 의하면, 기원전 323년 알렉산더 대왕의 사후, 제1 왕비였던 록사네가 아들 알렉산더 4세의 지위를 공고히 하기 위해 스타테이라와 그의 자매를 처단하라고 명령했다는 것이다.","{'word': '알렉산더 4세', 'start_idx': 55, 'end_idx': 61, 'type': 'PER'}","{'word': '기원전 323년', 'start_idx': 17, 'end_idx': 24, 'type': 'DAT'}",no_relation,wikipedia
623,"김복진(金復鎭, 1901년 11월 3일 (1901년 음력 9월 23일)(1901년 음력 9월 23일) - 1940년 8월 18일)은 일제 강점기의 조각가이며, 사회주의 계파의 진보 성향 문예운동을 이끈 지도자였다.","{'word': '김복진', 'start_idx': 0, 'end_idx': 2, 'type': 'PER'}","{'word': '1901년', 'start_idx': 9, 'end_idx': 13, 'type': 'DAT'}",per:date_of_birth,wikipedia
625,"키리아코스 파파도풀로스 (Κυριάκος Παπαδόπουλος, Kyriakos Papadopoulos, 1992년 2월 23일, 중앙마케도니아 주 카테리니 ~)는 그리스의 축구 선수이다.","{'word': '키리아코스 파파도풀로스', 'start_idx': 0, 'end_idx': 11, 'type': 'PER'}","{'word': '1992년 2월 23일', 'start_idx': 60, 'end_idx': 71, 'type': 'DAT'}",per:date_of_birth,wikipedia
626,"1979년 9월 20일, 서울에서 태어난 넋업샨는 1999년 기계치의 멤버로 데뷔를 하였다.","{'word': '넋업샨', 'start_idx': 23, 'end_idx': 25, 'type': 'PER'}","{'word': '1979년 9월 20일', 'start_idx': 0, 'end_idx': 11, 'type': 'DAT'}",per:date_of_birth,wikipedia
