id,sentence,subject_entity,object_entity,label,source
10,하비에르 파스토레는 아르헨티나 클럽 타예레스의 유소년팀에서 축구를 시작하였다.,"{'word': '하비에르 파스토레', 'start_idx': 0, 'end_idx': 8, 'type': 'PER'}","{'word': '아르헨티나', 'start_idx': 11, 'end_idx': 15, 'type': 'LOC'}",per:origin,wikipedia
91,"백한성(白漢成, 水原鶴人, 1899년 6월 15일 조선 충청도 공주 출생 ~ 1971년 10월 13일 대한민국 서울에서 별세.)은 대한민국의 정치가이며 법조인이다.","{'word': '백한성', 'start_idx': 0, 'end_idx': 2, 'type': 'PER'}","{'word': '조선 충청도 공주', 'start_idx': 28, 'end_idx': 36, 'type': 'LOC'}",per:place_of_birth,wikipedia
167,"이어 “6월 항쟁의 미완성을 통해 민주주의 후퇴를 겪었다. 국민들이 촛불혁명으로 탄생시킨 문재인 정부는 반드시 성공시켜야 한다”며 “정치혁신을 통해 대한민국의 변화를 꿈꿨던 국민들의 바램, 광주의 꿈을 반드시 이룰 것이다”고 밝혔다.","{'word': '문재인', 'start_idx': 50, 'end_idx': 52, 'type': 'PER'}","{'word': '대한민국', 'start_idx': 83, 'end_idx': 86, 'type': 'LOC'}",per:place_of_residence,wikitree
173,보르지보이 2세는 자신의 조카였던 스바토플루크와 함께 즈비그니에프를 지지하는 한편 볼레스와프 3세의 폴란드 공작위 계승에 반대했다.,"{'word': '볼레스와프 3세', 'start_idx': 46, 'end_idx': 53, 'type': 'PER'}","{'word': '폴란드', 'start_idx': 56, 'end_idx': 58, 'type': 'LOC'}",no_relation,wikipedia
175,"정치적으로 김영삼의 계보에서 활동하였기 때문에 최형우와 함께 대표적인 상도동 가신그룹으로 꼽히며 ""좌동영 우형우""로 불렸다.","{'word': '김영삼', 'start_idx': 6, 'end_idx': 8, 'type': 'PER'}","{'word': '상도동', 'start_idx': 39, 'end_idx': 41, 'type': 'LOC'}",no_relation,wikipedia
179,"김영삼 대통령 퇴임 후 미국 아이오와 주립대학 객원연구원으로 있다가, 1999년 귀국한 후 대한민국 제16대 국회의원 선거에서 부산 북구·강서구 을 선거구 출마를 선언한 노무현의 선거캠프에 합류하면서 3당 합당 후 9년 만에 민주당계 정당으로 이적하였다.","{'word': '노무현', 'start_idx': 95, 'end_idx': 97, 'type': 'PER'}","{'word': '대한민국', 'start_idx': 51, 'end_idx': 54, 'type': 'LOC'}",per:origin,wikipedia
212,스웨덴 왕 칼 12세의 무리한 군사정책으로 시작된 대북방 전쟁(1700~1721년)에서 핀란드의 국토는 러시아의 대대적 침공으로 일대 타격을 입었다.,"{'word': '칼 12세', 'start_idx': 6, 'end_idx': 10, 'type': 'PER'}","{'word': '스웨덴', 'start_idx': 0, 'end_idx': 2, 'type': 'LOC'}",per:employee_of,wikipedia
222,"바투의 형제 베르케하에서, 킵차크 칸국은 베르크 칸이 바그다드 전투와 칼리프 알 무스타으심을 살해한 것으로 경멸했던 훌라구 칸이 다스린 일 칸국의 친척들과 분쟁에 휩싸인다.","{'word': '훌라구 칸', 'start_idx': 65, 'end_idx': 69, 'type': 'PER'}","{'word': '일 칸국', 'start_idx': 76, 'end_idx': 79, 'type': 'LOC'}",per:employee_of,wikipedia
227,미나스 티리스를 포위한 사우론의 군대가 맹공을 해 파라미르가 활에 맞아 중태에 빠지고 통치 집사인 데네소르가 자살하는 등 벽에 몰리지만 때맞추어 찾아온 로한 왕 세오덴의 원군과 아라고른이 데려온 곤도르 남부 도시의 병사들이 사우론의 군대를 공격하고 세오덴은 하라드 군대와 마법사왕과 싸우다 전사하지만 마법사왕도 에오윈에게 죽는다.,"{'word': '아라고른', 'start_idx': 99, 'end_idx': 102, 'type': 'PER'}","{'word': '곤도르', 'start_idx': 109, 'end_idx': 111, 'type': 'LOC'}",per:employee_of,wikipedia
230,다만 역법의 시작을 이슬람력과 동일하게 무함마드 및 그의 추종자들이 메카에서 메디나로 피난을 간 양력 622년을 1년으로 계산하였다.,"{'word': '무함마드', 'start_idx': 22, 'end_idx': 25, 'type': 'PER'}","{'word': '메디나', 'start_idx': 43, 'end_idx': 45, 'type': 'LOC'}",per:place_of_residence,wikipedia
233,"유한굉(劉漢宏, Liu Hanhong, ~ 887년)은 중국 당나라 말기에 활약했던 군벌로, 당초에는 당나라에 반기를 들었으나, 후에 당나라의 관직을 받고 의승군 절도사(義勝軍節度使, 본거지는 지금의 저장 성 사오싱 시)로서 절강 동부 일대를 지배하였다.","{'word': '유한굉', 'start_idx': 0, 'end_idx': 2, 'type': 'PER'}","{'word': '중국 당나라', 'start_idx': 31, 'end_idx': 36, 'type': 'LOC'}",per:place_of_residence,wikipedia
272,그의 어머니인 소피아는 당시 스웨덴의 국왕인 칼 12세의 여동생으로 카를 프리드리히는 스웨덴 국왕의 외조카였다.,"{'word': '칼 12세', 'start_idx': 25, 'end_idx': 29, 'type': 'PER'}","{'word': '스웨덴 국왕', 'start_idx': 48, 'end_idx': 53, 'type': 'LOC'}",per:title,wikipedia
289,16일째에 카르나는 카우라바의 총사령관이 되었다.,"{'word': '카르나', 'start_idx': 6, 'end_idx': 8, 'type': 'PER'}","{'word': '카우라바', 'start_idx': 11, 'end_idx': 14, 'type': 'LOC'}",per:origin,wikipedia
304,이러한 상황 속에서도 2007년 10월에는 노무현 대한민국 대통령과 김정일 국방위원장이 평양직할시에서 만나 10·4 남북정상선언을 발표한다.,"{'word': '노무현', 'start_idx': 24, 'end_idx': 26, 'type': 'PER'}","{'word': '대한민국', 'start_idx': 28, 'end_idx': 31, 'type': 'LOC'}",per:origin,wikipedia
306,1534년에 탐험가 자크 카르티에가 가스페 반도의 동쪽에 도착하여 이 마을에서 프랑스 캐나다 식민지 (누벨 프랑스 의 영유권 확대)가 시작되었다.,"{'word': '자크 카르티에', 'start_idx': 11, 'end_idx': 17, 'type': 'PER'}","{'word': '프랑스', 'start_idx': 44, 'end_idx': 46, 'type': 'LOC'}",per:employee_of,wikipedia
340,한편 비카르나는 비마에게 승부를 신청하였고 비마는 결투 끝에 비카르나를 죽이지만 비카르나는 판다바들이 하스티나푸라에 있을 때 그들의 편을 들어주었기 때문에 비마는 그의 죽음을 슬퍼하였다.,"{'word': '비카르나', 'start_idx': 45, 'end_idx': 48, 'type': 'PER'}","{'word': '판다바', 'start_idx': 51, 'end_idx': 53, 'type': 'LOC'}",no_relation,wikipedia
401,"경남지역은 산청함양거창합천(서필상 ㆍ조현진), 창원마산합포(박남현 ·박종호 ㆍ이현규), 진주갑(갈상돈·김헌규 ㆍ정영훈), 거제(문상문 ㆍ백순환 ㆍ이기우) 등 4곳이다.","{'word': '서필상', 'start_idx': 15, 'end_idx': 17, 'type': 'PER'}","{'word': '산청함양거창합천', 'start_idx': 6, 'end_idx': 13, 'type': 'LOC'}",per:employee_of,wikitree
410,노벨상은 다이너마이트의 발명가인 스웨덴의 알프레드 노벨이 1895년 작성한 유언에 따라 매년 인류의 문명 발달에 학문적으로 기여한 사람에게 주어지는 상이다.,"{'word': '알프레드 노벨', 'start_idx': 23, 'end_idx': 29, 'type': 'PER'}","{'word': '스웨덴', 'start_idx': 18, 'end_idx': 20, 'type': 'LOC'}",per:origin,wikipedia
433,"뒤이어 부시 전 미국 대통령과 하토야마 전 일본 총리, 고촉통 전 싱가포르 총리, 길라드 전 호주 총리, 드 메지에르 전 동독 총리 등 인사들을 소개하며 인사말을 건넸다.","{'word': '고촉통', 'start_idx': 31, 'end_idx': 33, 'type': 'PER'}","{'word': '싱가포르', 'start_idx': 37, 'end_idx': 40, 'type': 'LOC'}",per:origin,wikipedia
497,푸블리우스 아일리우스 트라야누스 하드리아누스(76년 1월 24일~138년 7월 10일)는 로마 제국의 제14대 황제(재위: 117년~138년)이다.,"{'word': '하드리아누스', 'start_idx': 18, 'end_idx': 23, 'type': 'PER'}","{'word': '로마 제국', 'start_idx': 50, 'end_idx': 54, 'type': 'LOC'}",per:origin,wikipedia
498,"이후 신바빌로니아는 기원전 604년 경에 네부카드네자르 2세에 의해 이스라엘 왕국을 정복하고 바빌론의 문과 바빌론의 공중정원 등의 건축물들을 건설하는 등 최전성기를 맞이하였지만, 네부카드네자르 2세 사후 쇠퇴하기 시작한 신바빌로니아는 결국 기원전 539년에 동쪽에서 힘을 키워온 아케메네스 제국의 키루스 2세에게 멸망했다.","{'word': '네부카드네자르 2세', 'start_idx': 23, 'end_idx': 32, 'type': 'PER'}","{'word': '신바빌로니아', 'start_idx': 3, 'end_idx': 8, 'type': 'LOC'}",per:origin,wikipedia
503,김성주(1990년 11월 15일 ~)은 대한민국의 축구 선수이며 현재 K리그1 인천 유나이티드에서 활약하고 있다.,"{'word': '김성주', 'start_idx': 0, 'end_idx': 2, 'type': 'PER'}","{'word': '대한민국', 'start_idx': 22, 'end_idx': 25, 'type': 'LOC'}",per:place_of_residence,wikipedia
517,후에 유명한 소설 를 쓰는 당시 스페인의 보병 연대장 세르반테스는 이 전투에서 싸우던 중 한쪽 팔을 잃었다.,"{'word': '세르반테스', 'start_idx': 30, 'end_idx': 34, 'type': 'PER'}","{'word': '스페인', 'start_idx': 18, 'end_idx': 20, 'type': 'LOC'}",per:origin,wikipedia
547,"1995년 안토니우 구테흐스 정부 출범 후 중앙 부처에서 근무했으며, 1997년 체육청소년부 장관으로 임명되어 2004년 포르투갈에서 열리는 UEFA 유로 2004의 준비과정을 주관했다.","{'word': '안토니우 구테흐스', 'start_idx': 6, 'end_idx': 14, 'type': 'PER'}","{'word': '포르투갈', 'start_idx': 68, 'end_idx': 71, 'type': 'LOC'}",no_relation,wikipedia
552,"이는 자신보다 시니어 무대에 먼저 데뷔한 일본의 무라카미 카나코, 캐나다의 케이틀린 오스먼드, 중국의 리 지준을 넘은 성적이었고, 아사다 마오, 카롤리나 코스트너, 율리아 리프니츠카야. 스즈키 아키코 등 쟁쟁한 선수들이 모두 참가한 대회라는 점에서 그 의미가 깊다.","{'word': '케이틀린 오스먼드', 'start_idx': 42, 'end_idx': 50, 'type': 'PER'}","{'word': '캐나다', 'start_idx': 37, 'end_idx': 39, 'type': 'LOC'}",per:origin,wikipedia
566,센추리 미디어 레코드로부터의 더 많은 예산과 함께 오페스는 유명 스웨덴 프로듀서 프레드리크 노르드스트룀과 함께 1997년 8월에 프레드먼 스튜디오에서 세 번째 음반 녹음을 시작한다.,"{'word': '오페스', 'start_idx': 28, 'end_idx': 30, 'type': 'PER'}","{'word': '스웨덴', 'start_idx': 36, 'end_idx': 38, 'type': 'LOC'}",no_relation,wikipedia
609,이시언은 지난해 8월 서울시 동작구 상도동에 카페 '상도목장'을 개업했다.,"{'word': '이시언', 'start_idx': 0, 'end_idx': 2, 'type': 'PER'}","{'word': '상도동', 'start_idx': 20, 'end_idx': 22, 'type': 'LOC'}",no_relation,wikitree
