id,sentence,subject_entity,object_entity,label,source
109,"당시 김신영 씨는 ""현재 48kg이다. 골반은 조금 더 작아졌지만 크게 달라진 건 없다""며 ""애니메이션 '인크레더블' 몸매""라고 설명했다.","{'word': '김신영', 'start_idx': 3, 'end_idx': 5, 'type': 'PER'}","{'word': '48kg', 'start_idx': 14, 'end_idx': 17, 'type': 'NOH'}",no_relation,wikitree
541,"소식을 접한 국내 야구팬들은 ""충격이 커 보인다. 아쉽지 않았으면 보통 ‘굿바이 류’라는 댓글이 달릴 텐데"", ""4년에 8000만달러면 그렇게 비싸지 않아서 다저스 팬들이 아쉽겠다"", ""FA 시장에서 수준급 선발 투수들이 거의 다 진로를 결정한 상황이라, 류현진만한 투수를 얻기도 쉽지 않다는 걸 그들도 아는 것"" 등의 반응을 보이고 있다.","{'word': '류현진', 'start_idx': 143, 'end_idx': 145, 'type': 'PER'}","{'word': '8000만달러', 'start_idx': 67, 'end_idx': 73, 'type': 'NOH'}",no_relation,wikitree
663,안소미 씨는 지난 2009년 KBS 24기 공채 개그맨으로 데뷔했다.,"{'word': '안소미', 'start_idx': 0, 'end_idx': 2, 'type': 'PER'}","{'word': 'KBS 24기 공채 개그맨', 'start_idx': 16, 'end_idx': 29, 'type': 'NOH'}",per:title,wikitree
977,"정진석(鄭鎭碩, 1960년 9월 4일 ~)은 대한민국의 정치인으로, 제16·17·18·20·21대 국회의원이다.","{'word': '정진석', 'start_idx': 0, 'end_idx': 2, 'type': 'PER'}","{'word': '16·17·18·20', 'start_idx': 39, 'end_idx': 49, 'type': 'NOH'}",no_relation,wikipedia
1020,"ESPN 제프 파산 기자 등은 23일(한국시간) SNS를 통해 ""류현진이 토론토와 4년 총액 8000만달러(약929억7600만원)에 계약했다""고 밝혔다.","{'word': '류현진', 'start_idx': 36, 'end_idx': 38, 'type': 'PER'}","{'word': '8000만달러', 'start_idx': 52, 'end_idx': 58, 'type': 'NOH'}",no_relation,wikitree
1644,법원이 자신이 살던 아파트에 불을 지르고 흉기를 휘둘러 5명을 숨지게 하고 17명을 다치게 한 진주 아파트 방화살인범 안인득(42)에게 법정 최고형을 선고했다.,"{'word': '안인득', 'start_idx': 66, 'end_idx': 68, 'type': 'PER'}","{'word': '17명', 'start_idx': 42, 'end_idx': 44, 'type': 'NOH'}",no_relation,wikitree
1762,7월 9일 지터는 탬파베이 레이스의 데이비드 프라이스에 홈런을 가하며 자신의 3000번째 안타를 기록하였다.,"{'word': '데이비드 프라이스', 'start_idx': 20, 'end_idx': 28, 'type': 'PER'}","{'word': '3000', 'start_idx': 43, 'end_idx': 46, 'type': 'NOH'}",no_relation,wikipedia
1767,2010년 6월 하야부사가 세계 최초로 달 이외의 천체 물질 (소행성 25143 이토카와의 물질)을 채취 해 지구로 귀환했다.,"{'word': '하야부사', 'start_idx': 9, 'end_idx': 12, 'type': 'PER'}","{'word': '25143 이토카와', 'start_idx': 39, 'end_idx': 48, 'type': 'NOH'}",no_relation,wikipedia
2229,최연수 씨는 190cm나 되는 최현석 셰프의 큰 키를 물려받아 174cm의 장신을 가졌다.,"{'word': '최현석', 'start_idx': 17, 'end_idx': 19, 'type': 'PER'}","{'word': '190cm', 'start_idx': 7, 'end_idx': 11, 'type': 'NOH'}",no_relation,wikitree
2460,18일부터 중국 우시 타이후 인터내셔널 엑스포 센터에서 사흘간의 일정으로 시작된 월드 태권도 그랜드슬램 대회에서 남자 -68kg급에 출전한 이대훈(대전시체육회) 선수가 금메달을 목에 걸었다.,"{'word': '이대훈', 'start_idx': 78, 'end_idx': 80, 'type': 'PER'}","{'word': '68kg', 'start_idx': 67, 'end_idx': 70, 'type': 'NOH'}",no_relation,wikitree
