id,sentence,subject_entity,object_entity,label,source
20,1971년 대선을 앞두고 김종필은 1971년 선거에서 박정희 당선을 위해 무려 600억원이나 썼다고 밝혔다.,"{'word': '김종필', 'start_idx': 14, 'end_idx': 16, 'type': 'PER'}","{'word': '박정희', 'start_idx': 30, 'end_idx': 32, 'type': 'PER'}",per:colleagues,wikipedia
21,"2010년에는 아시아 가수 최초로 마이클 잭슨의 곡을 리메이크하였는데 당시 마이클 잭슨과 함께 작업했던 세계적인 뮤지션 스티브 바라캇(Steve Barakatt)과 마이클 잭슨 곡 ""You are not alone""을 작업해 화제가 되었다.","{'word': '스티브 바라캇', 'start_idx': 67, 'end_idx': 73, 'type': 'PER'}","{'word': 'Steve Barakatt', 'start_idx': 75, 'end_idx': 88, 'type': 'PER'}",per:alternate_names,wikipedia
22,"박흥식은 첫 부인과의 사이에 장녀 박병숙을 두었고, 두 번째 부인은 경희대학교 교수를 지낸 피아니스트 한인하이며, 두 사람 사이에서 태어난 딸 박봉숙은 이화여자대학교 교수를 지냈다.","{'word': '박흥식', 'start_idx': 0, 'end_idx': 2, 'type': 'PER'}","{'word': '한인하', 'start_idx': 57, 'end_idx': 59, 'type': 'PER'}",per:spouse,wikipedia
25,"SK는 또 ""해당 방송에서 언급한 지난해 12월5일 가로세로연구소 유튜브 방송 또한 명백한 허위사실임을 알려드린다""며 ""최태원 회장이 수감 중 구치소에 라텍스 베개를 배포하였다거나 이혼 소송 중인 노소영 관장에게 생활비를 지급하지 않았다는 것은 허위""라고도 주장했다.","{'word': '노소영', 'start_idx': 110, 'end_idx': 112, 'type': 'PER'}","{'word': '최태원', 'start_idx': 67, 'end_idx': 69, 'type': 'PER'}",per:spouse,wikitree
27,"1824년에 있었던 첫 졸업식에는 대통령 제임스 먼로와 존 C. 칼훈, 헨리 클레이 시니어, 질베르 뒤 모티에 드 라파예트 후작 등이 참석했다.","{'word': '존 C. 칼훈', 'start_idx': 31, 'end_idx': 37, 'type': 'PER'}","{'word': '제임스 먼로', 'start_idx': 23, 'end_idx': 28, 'type': 'PER'}",no_relation,wikipedia
33,채리나는 이후 박용근을 생명의 은인으로 여기고 교제하다가 2016년 11월에 결혼하였다.,"{'word': '채리나', 'start_idx': 0, 'end_idx': 2, 'type': 'PER'}","{'word': '박용근', 'start_idx': 8, 'end_idx': 10, 'type': 'PER'}",per:spouse,wikipedia
40,배우 장신영(35) 씨와 남편 강경준(36) 씨가 둘째를 품에 안았다.,"{'word': '강경준', 'start_idx': 17, 'end_idx': 19, 'type': 'PER'}","{'word': '장신영', 'start_idx': 3, 'end_idx': 5, 'type': 'PER'}",per:spouse,wikitree
46,"에피소드에서는 외계 시간여행자인 닥터 (크리스토퍼 에클스턴)이 새로운 동행자 로즈 타일러 (빌리 파이퍼)를 타디스를 이용한 첫번째 시공간 여행으로 5,000,000년에 데려간다.","{'word': '빌리 파이퍼', 'start_idx': 51, 'end_idx': 56, 'type': 'PER'}","{'word': '로즈 타일러', 'start_idx': 43, 'end_idx': 48, 'type': 'PER'}",per:alternate_names,wikipedia
54,그는 어려서 생모인 폐비 윤씨가 아닌 계모 정현왕후의 아들인 것처럼 성장하였다.,"{'word': '정현왕후', 'start_idx': 24, 'end_idx': 27, 'type': 'PER'}","{'word': '폐비 윤씨', 'start_idx': 11, 'end_idx': 15, 'type': 'PER'}",no_relation,wikipedia
56,"1555년 카를 5세의 퇴위로, 그의 영지는 아들 스페인의 국왕 펠리페 2세와 동생 페르디난트 1세 둘 사이로 나뉘었다.","{'word': '카를 5세', 'start_idx': 6, 'end_idx': 10, 'type': 'PER'}","{'word': '펠리페', 'start_idx': 36, 'end_idx': 38, 'type': 'PER'}",per:children,wikipedia
63,"이인수의 아내 조혜자에 의하면 ""박씨 부인은 이승만을 옥바라지했을 뿐만 아니라 시아버지(이경선)의 산소를 황해도 평산으로 이장했던 분""이라며 ""그분은 선교사들과 교유하며 영어와 일어, 중국어, 러시아어까지 소통이 가능했던 인텔리 여장부였다고 들었다""고 했다.","{'word': '이승만', 'start_idx': 25, 'end_idx': 27, 'type': 'PER'}","{'word': '이인수', 'start_idx': 0, 'end_idx': 2, 'type': 'PER'}",no_relation,wikipedia
74,"일부는 미국 독립 전쟁 중에 활약을 하였으며, 이던 앨런이 이끄는 그린 마운틴 보이스는 1775년 5월 10일 샹플레인 호수에 있는 타이컨더로가 요새를 함락시키기도 했으며, 1775년에는 캐나다 침공 작전에 참전하였고, 1777년에는 허버드턴과 베닝턴 전투에도 참전을 하였다.","{'word': '이던 앨런', 'start_idx': 26, 'end_idx': 30, 'type': 'PER'}","{'word': '그린 마운틴 보이스', 'start_idx': 37, 'end_idx': 46, 'type': 'PER'}",per:employee_of,wikipedia
77,문재인 대통령 부인 김정숙 여사가 22일 오후 광주 광산구 남부대 시립국제수영장에서 열린 2019 광주세계수영선수권대회에서 이용섭 조직위원장과 김서영의 경기를 관람하고 있다.,"{'word': '문재인', 'start_idx': 0, 'end_idx': 2, 'type': 'PER'}","{'word': '김정숙', 'start_idx': 11, 'end_idx': 13, 'type': 'PER'}",per:spouse,wikitree
78,"당시 그의 장남(이자 이승만의 양자로써 당대 이승만의 권력을 반증하는 가짜 이강석 사건으로 잘 알려진) 이강석 소위는 이승만의 양자로 들어가 있었는데, 4월 28일 새벽 0시경에 아버지 이기붕, 어머니 박마리아, 남동생 이강욱을 총으로 쏴 죽이고, 자신도 자살했다.","{'word': '박마리아', 'start_idx': 113, 'end_idx': 116, 'type': 'PER'}","{'word': '이기붕', 'start_idx': 104, 'end_idx': 106, 'type': 'PER'}",per:spouse,wikipedia
86,"모델 김원중, 곽지영 씨 부부가 신혼 생활을 방송에서 공개했다.","{'word': '곽지영', 'start_idx': 8, 'end_idx': 10, 'type': 'PER'}","{'word': '김원중', 'start_idx': 3, 'end_idx': 5, 'type': 'PER'}",per:spouse,wikitree
90,신익희나 그의 비서 신창현에 의하면 이승만은 이시영의 손자들을 보더니 '눈귀에 다시 눈물이 지적지적하였다' 했다.,"{'word': '이시영', 'start_idx': 25, 'end_idx': 27, 'type': 'PER'}","{'word': '이승만', 'start_idx': 20, 'end_idx': 22, 'type': 'PER'}",no_relation,wikipedia
98,"헌종 성화제의 서4남이자 효종 홍치제의 이복 동생이며, 세종 가정제의 생부이다.","{'word': '성화제', 'start_idx': 3, 'end_idx': 5, 'type': 'PER'}","{'word': '홍치제', 'start_idx': 17, 'end_idx': 19, 'type': 'PER'}",no_relation,wikipedia
116,전 축구선수 안정환(44) 씨 아내 이혜원(40) 씨가 때아닌 뭇매를 맞고 있다.,"{'word': '이혜원', 'start_idx': 20, 'end_idx': 22, 'type': 'PER'}","{'word': '안정환', 'start_idx': 7, 'end_idx': 9, 'type': 'PER'}",per:spouse,wikitree
121,자의왕후는 문무왕과의 사이에서 소명태자와 훗날 신문왕이 되는 정명태자를 낳았다.,"{'word': '문무왕', 'start_idx': 6, 'end_idx': 8, 'type': 'PER'}","{'word': '자의왕후', 'start_idx': 0, 'end_idx': 3, 'type': 'PER'}",per:spouse,wikipedia
125,그룹 '소녀시대' 출신 제시카가 중국 매니지먼트에 20억 원대 피소를 당했다.,"{'word': '소녀시대', 'start_idx': 4, 'end_idx': 7, 'type': 'PER'}","{'word': '제시카', 'start_idx': 13, 'end_idx': 15, 'type': 'PER'}",per:origin,wikitree
138,"대한민국의 보이 그룹 방탄소년단의 리더와 메인 래퍼를 맡고 있으며, 2013년부터 약 5년간 랩몬스터라는 예명을 사용했으나, 2017년 11월 13일부터 'RM'으로 예명을 바꿔 활동하고 있다.","{'word': '랩몬스터', 'start_idx': 52, 'end_idx': 55, 'type': 'PER'}","{'word': '방탄소년단', 'start_idx': 12, 'end_idx': 16, 'type': 'PER'}",per:employee_of,wikipedia
143,"장성군은 2일 유두석 장성군수와 이개호 농림축산식품부 장관, 김한종 전남도의회 의원이 함께 국무총리실을 방문, 이낙연 국무총리에게 장성군민의 오랜 염원인 ‘KTX 장성역 정차’와 ‘국립심혈관 센터 설립 조속 추진’을 건의했다고 밝혔다.","{'word': '이개호', 'start_idx': 18, 'end_idx': 20, 'type': 'PER'}","{'word': '이낙연', 'start_idx': 62, 'end_idx': 64, 'type': 'PER'}",no_relation,wikitree
146,"후지와라노 쇼시/다마코(1101년 - 1145년 9월 10일)은 헤이안 시대 도바 천황의 중궁이자, 스토쿠 천황과 고시라카와 천황의 생모로 니조 천황과 다카쿠라 천황의 할머니이다.","{'word': '다카쿠라 천황', 'start_idx': 85, 'end_idx': 91, 'type': 'PER'}","{'word': '고시라카와 천황', 'start_idx': 64, 'end_idx': 71, 'type': 'PER'}",per:parents,wikipedia
157,"아나킨 스카이워커는 미디클로리언 수치가 20000이 넘는, 선천적으로 가진 포스의 능력이 가장 뛰어난 제다이로서, 콰이곤 진에 의해 늦은 나이에 수련을 받지만 이후 다크사이드로 타락하여 다스 베이더가 된다.","{'word': '아나킨 스카이워커', 'start_idx': 0, 'end_idx': 8, 'type': 'PER'}","{'word': '콰이곤 진', 'start_idx': 64, 'end_idx': 68, 'type': 'PER'}",per:colleagues,wikipedia
162,탤런트 강은탁(37·신슬기) 어머니 A씨가 200명에게 사기 혐의로 피소당했다.,"{'word': '강은탁', 'start_idx': 4, 'end_idx': 6, 'type': 'PER'}","{'word': '신슬기', 'start_idx': 11, 'end_idx': 13, 'type': 'PER'}",per:alternate_names,wikitree
164,"2013년 방탄소년단 멤버 랩몬스터(김남준), 슈가(민윤기)는 비프리와 '김봉현의 힙합 초대석 1주년 공개방송'에 출연했다.","{'word': '랩몬스터', 'start_idx': 15, 'end_idx': 18, 'type': 'PER'}","{'word': '김남준', 'start_idx': 20, 'end_idx': 22, 'type': 'PER'}",per:alternate_names,wikitree
169,'코로나19'로 사회적 분위기가 암울한 가운데 배우 김우빈(김현중)이 한 줄기 빛 같은 소식을 전했다.,"{'word': '김우빈', 'start_idx': 29, 'end_idx': 31, 'type': 'PER'}","{'word': '김현중', 'start_idx': 33, 'end_idx': 35, 'type': 'PER'}",per:alternate_names,wikitree
171,"이같은 일은 후진타오, 장쩌민 주석도 임기 내에 하지 못한 전례없는 사건이었다.","{'word': '후진타오', 'start_idx': 7, 'end_idx': 10, 'type': 'PER'}","{'word': '장쩌민', 'start_idx': 13, 'end_idx': 15, 'type': 'PER'}",no_relation,wikipedia
183,폴 매카트니와는 1967년 런던에서 책에 쓰일 비틀즈의 사진을 찍는 중에 만나게 되었고 존 레논과 오노 요코의 결혼보다 8일 앞선 1969년 3월 12일 결혼했다.,"{'word': '비틀즈', 'start_idx': 26, 'end_idx': 28, 'type': 'PER'}","{'word': '폴 매카트니', 'start_idx': 0, 'end_idx': 5, 'type': 'PER'}",per:employee_of,wikipedia
188,"샤를 4세가 남자 후계자를 남기지 않은 채 죽자, 필리프 4세의 직계혈통이 끊어지게 되었기 때문에, 필리프 3세의 남자쪽계의 손자로 제후, 승려들의 회의를 통해 선택되어 즉위했다.","{'word': '필리프 3세', 'start_idx': 56, 'end_idx': 61, 'type': 'PER'}","{'word': '필리프 4세', 'start_idx': 28, 'end_idx': 33, 'type': 'PER'}",no_relation,wikipedia
191,쇼니 씨(少弐氏)의 8대 당주로 쇼니 요리히사(少弐頼尚)의 둘째 아들이다.,"{'word': '쇼니 씨', 'start_idx': 0, 'end_idx': 3, 'type': 'PER'}","{'word': '少弐氏', 'start_idx': 5, 'end_idx': 7, 'type': 'PER'}",per:alternate_names,wikipedia
199,그러나 빅토리아가 태어난 지 1년 만에 에드워드는 사망했고 그녀는 말도 통하지 않는 곳에 홀로 남겨지게 되었지만 자신의 딸이 윌리엄 4세 국왕 사후에 영국의 여왕으로 즉위하는 것이 거의 확정적인 분위기였다.,"{'word': '윌리엄 4세', 'start_idx': 70, 'end_idx': 75, 'type': 'PER'}","{'word': '빅토리아', 'start_idx': 4, 'end_idx': 7, 'type': 'PER'}",per:other_family,wikipedia
200,재위 기간 동안 그는 프랑스의 왕 프랑수아 1세와 그의 후계자 앙리 2세와의 사이에 벌어진 이탈리아 전쟁에 집중하였다.,"{'word': '앙리 2세', 'start_idx': 35, 'end_idx': 39, 'type': 'PER'}","{'word': '프랑수아 1세', 'start_idx': 19, 'end_idx': 25, 'type': 'PER'}",no_relation,wikipedia
216,그가 전사하자 김성주가 전사한 김일성의 이름을 쓰며 자신이 6사장이었던 것처럼 행세하여 보천보 전공을 가로챈 것이다.,"{'word': '김일성', 'start_idx': 17, 'end_idx': 19, 'type': 'PER'}","{'word': '김성주', 'start_idx': 8, 'end_idx': 10, 'type': 'PER'}",no_relation,wikipedia
228,"오스트리아의 마리 테레즈(1638년 9월 10일 ~ 1683년 7월 30일)는 프랑스의 왕비로, 루이 14세의 아내이다.","{'word': '루이 14세', 'start_idx': 54, 'end_idx': 59, 'type': 'PER'}","{'word': '마리 테레즈', 'start_idx': 7, 'end_idx': 12, 'type': 'PER'}",per:spouse,wikipedia
229,자의왕후는 문무왕과의 사이에서 소명태자와 훗날 신문왕이 되는 정명태자를 낳았다.,"{'word': '신문왕', 'start_idx': 26, 'end_idx': 28, 'type': 'PER'}","{'word': '문무왕', 'start_idx': 6, 'end_idx': 8, 'type': 'PER'}",per:parents,wikipedia
231,"2017년 10월 18일 노태현, 타카다 켄타, 김상균, 김용국, 김동한과 함께 보이 그룹 JBJ '정말 데뷔하기 좋은날' 쇼케이스로 데뷔했다.","{'word': '노태현', 'start_idx': 14, 'end_idx': 16, 'type': 'PER'}","{'word': 'JBJ', 'start_idx': 51, 'end_idx': 53, 'type': 'PER'}",per:employee_of,wikipedia
239,전 축구선수 안정환(43) 씨 아내 이혜원(40) 씨가 결국 SNS를 닫아버렸다.,"{'word': '안정환', 'start_idx': 7, 'end_idx': 9, 'type': 'PER'}","{'word': '이혜원', 'start_idx': 20, 'end_idx': 22, 'type': 'PER'}",per:spouse,wikitree
240,"1984년 '전두환으로 시작해 이순자로 끝나는 그따위 땡전뉴스'라는 표현을 지상파 방송 전파에 실어 보내기도 하고, 1987년 '박종철 고문치사 사건' 때는 동료들이 방송실을 에워싸고 지켜주는 가운데 '고문은 사라져야 한다'는 방송 리포트를 내보내 '항명방송'이라는 사건의 주인공이 되기도 하였다.","{'word': '이순자', 'start_idx': 17, 'end_idx': 19, 'type': 'PER'}","{'word': '전두환', 'start_idx': 7, 'end_idx': 9, 'type': 'PER'}",no_relation,wikipedia
