id,sentence,subject_entity,object_entity,label,source
11,"이른바 'Z세대'로 불리는 1990년대 중반 이후 태어난 세대에게 대표 아이콘으로 통하는 미국 싱어송라이터 빌리 아일리시(본명 빌리 오코널, 19)가 팝 역사를 새로 썼다.","{'word': '빌리 아일리시', 'start_idx': 60, 'end_idx': 66, 'type': 'PER'}","{'word': '싱어송라이터', 'start_idx': 53, 'end_idx': 58, 'type': 'POH'}",per:title,wikitree
24,FA로 친정 팀에 돌아온 중견수 이택근과 1루수로 정착한 박병호와 함께 클린업 트리오를 이루어 강력한 타선을 구성했다.,"{'word': '박병호', 'start_idx': 32, 'end_idx': 34, 'type': 'PER'}","{'word': '1루수', 'start_idx': 23, 'end_idx': 25, 'type': 'POH'}",per:title,wikipedia
38,광주국악상설공연이 세계수영선수권대회 기간동안 연이어 매진을 기록하며 광주 대표 문화관광 콘텐츠로 큰 호응을 받고 있는 가운데 국악인 박애리가 호남의 판소리를 전 세계에 알린다.,"{'word': '박애리', 'start_idx': 74, 'end_idx': 76, 'type': 'PER'}","{'word': '국악인', 'start_idx': 70, 'end_idx': 72, 'type': 'POH'}",per:title,wikitree
41,"이 캐릭터가 작가 스탠 리와 만화가 잭 커비가 만든 """" 에서 캡틴 아메리카의 전쟁 시절 애정 상대로 처음으로 등장하였을 당시에는 이름이 없었다.","{'word': '스탠 리', 'start_idx': 10, 'end_idx': 13, 'type': 'PER'}","{'word': '만화가', 'start_idx': 16, 'end_idx': 18, 'type': 'POH'}",no_relation,wikipedia
48,"후기 낭만적 음악의 화성조직이나 색채적인 오케스트라의 사용법이라든가 그러한 개개의 기법에 이끌렸어도 고전적인 음악형식을 저버리려고 하는 그 무렵의 작곡계의 일반적인 경향에는 반대였고 새로운 고전주의를 목표로 한 점에서 독일의 대작곡가 브람스의 생각과 일맥상통하는 바가 있어 사실 브람스에게는 매우 총애를 받아 드보르작의 작품이 1877년 이후 베를린의 지므로크 음악출판사로부터 출판하게 되었고, 체코 이외의 나라에서 연주하게 된 것도 브람스의 소개로 된 것이었다.","{'word': '드보르작', 'start_idx': 173, 'end_idx': 176, 'type': 'PER'}","{'word': '작곡가', 'start_idx': 127, 'end_idx': 129, 'type': 'POH'}",per:title,wikipedia
52,"(KIA 내야수 그, 투수 이동현, 외야수 김경언 ↔ 한화 투수 안영명, 박성호, 외야수 김다원). 이 트레이드 상대 중 안영명은 이듬해 이범호의 보상 선수로 팀에 복귀했다.","{'word': '김경언', 'start_idx': 24, 'end_idx': 26, 'type': 'PER'}","{'word': '외야수', 'start_idx': 20, 'end_idx': 22, 'type': 'POH'}",per:title,wikipedia
57,"2018년 4월 11일 정의당의 추혜선 대변인은 ""김기식의 해명과 청와대의 입장 발표는 드러난 문제점들에 대한 불신을 해소하기에 여전히 불충분하고, 오히려 추가로 의혹들이 드러나고 있는 상황""이라며 ""금감원장은 뛰어난 공정성과 도덕성이 요구되는 자리인 만큼, 논란이 지속된다면 제대로 된 개혁을 기대하기도 어려울 것""이라고 말하며 김기식의 사퇴를 촉구하였다.","{'word': '추혜선', 'start_idx': 18, 'end_idx': 20, 'type': 'PER'}","{'word': '대변인', 'start_idx': 22, 'end_idx': 24, 'type': 'POH'}",per:title,wikipedia
58,"멘토로 뮤지컬 배우 엄기준, 차지연, 한지상, 마이클리와 무대연출가 이지나 씨가 출연 중이다.","{'word': '차지연', 'start_idx': 16, 'end_idx': 18, 'type': 'PER'}","{'word': '뮤지컬 배우', 'start_idx': 4, 'end_idx': 9, 'type': 'POH'}",per:title,wikitree
69,칸트는 미(美)란 숭고함이다라고 주장하였는데 그의 이러한 주장은 윌리엄 터너(Joseph Mallord William Turner)와 같은 낭만주의 화가들에게 받아들여졌다.,"{'word': '윌리엄 터너', 'start_idx': 36, 'end_idx': 41, 'type': 'PER'}","{'word': '낭만주의', 'start_idx': 78, 'end_idx': 81, 'type': 'POH'}",no_relation,wikipedia
71,"디에고 베날리오가 현재 국가대표팀의 주전 골키퍼를 맡고 있으며, 그와 바젤의 얀 조머가 백업 골키퍼 자리를 두고 경합하고 있다.","{'word': '디에고 베날리오', 'start_idx': 0, 'end_idx': 7, 'type': 'PER'}","{'word': '골키퍼', 'start_idx': 23, 'end_idx': 25, 'type': 'POH'}",per:title,wikipedia
76,"1727년(옹정 5년), 옹정제는 자신의 심복이자 과거 사천 순무로 그 곳 사정을 잘 알던 연갱요를 무원대장군으로 삼고 23만의 군사를 보내 티베트군과 싸우게 하였다.","{'word': '연갱요', 'start_idx': 51, 'end_idx': 53, 'type': 'PER'}","{'word': '무원대장군', 'start_idx': 56, 'end_idx': 60, 'type': 'POH'}",per:title,wikipedia
84,"《천녀유혼》(The Ethereal Spirit of a Beauty)은 1987년 개봉한 홍콩의 로맨틱 코미디 호러 영화로 제작자는 서극이며, 영화감독은 정소동, 주연은 장국영, 왕조현, 우마이다.","{'word': '정소동', 'start_idx': 87, 'end_idx': 89, 'type': 'PER'}","{'word': '영화감독', 'start_idx': 81, 'end_idx': 84, 'type': 'POH'}",per:title,wikipedia
92,"드러머 로저 테일러는 2013년 12월에 자신과 기타리스트 브라이언 메이가 ""함께 하는 중입니다...새해를 맞이하여 우리가 가지고 있는 것을 끝내고 나면 어떤 종류의 음반을 만들 것입니다.""라고 언급하며 이 음반에 대해 말했다.","{'word': '로저 테일러', 'start_idx': 4, 'end_idx': 9, 'type': 'PER'}","{'word': '드러머', 'start_idx': 0, 'end_idx': 2, 'type': 'POH'}",per:title,wikipedia
100,이듬해 1997년에는 부상에서 회복된 채로 시즌을 맞이했으나 7월 1일 요미우리전에서 내야 땅볼을 때린 뒤 1루수인 기요하라 가즈히로와 부딪혀 왼쪽 무릎에 타박상을 입었다.,"{'word': '기요하라 가즈히로', 'start_idx': 65, 'end_idx': 73, 'type': 'PER'}","{'word': '1루수', 'start_idx': 60, 'end_idx': 62, 'type': 'POH'}",per:title,wikipedia
101,"민 리(1977년 6월 27일 ~)는 베트남계 캐나다인 게임 개발자로, 1999년 제스 클리프와 함께 《하프라이프》의 유명 모드인 《카운터스트라이크》를 제작했다.","{'word': '민 리', 'start_idx': 0, 'end_idx': 2, 'type': 'PER'}","{'word': '캐나다', 'start_idx': 26, 'end_idx': 28, 'type': 'POH'}",per:origin,wikipedia
105,"첼리스트 정명화, 바이올리니스트 정경화의 동생이다.","{'word': '정명화', 'start_idx': 5, 'end_idx': 7, 'type': 'PER'}","{'word': '첼리스트', 'start_idx': 0, 'end_idx': 3, 'type': 'POH'}",per:title,wikipedia
113,달빛요정역전만루홈런(2003년 ~ 2010년)은 이진원(1973년 ~ 2010년 11월 6일)을 주축으로 하여 2003년에 결성된 대한민국의 1인 프로젝트 그룹이다.,"{'word': '이진원', 'start_idx': 27, 'end_idx': 29, 'type': 'PER'}","{'word': '달빛요정', 'start_idx': 0, 'end_idx': 3, 'type': 'POH'}",per:employee_of,wikipedia
